sample=90 explainer=permutation target=0 sample_size=128
detokenized_full_text: i am shocked by all the good reviews on the cover of this movie and on imdb . it belongs in the $2 bin at your local video store . to say that this is a b movie is extremely generous . besides lacking a single redeemable character , only slightly better than average acting , and an ugly 80 ' s style picture quality , the script for this film is dull and lifeless . this film is not only <unk> is pathetic . ( admittedly , there is occasionally some mildly interesting chemistry between the two main characters . ) even the final plot <unk> , the only plot <unk> not save this film . rent diamond men if you must , but do not hesitate
idx	token_id	token_str	shap_value
0	2	i	-0.17314177751541138
1	16	am	0.3203694820404053
2	3795	shocked	-0.6027867197990417
3	167	by	-0.2053683027625084
4	544	all	0.11827471852302551
5	31	the	2.10009902715683
6	204	good	-0.03313198685646057
7	3069	reviews	0.08597791194915771
8	135	on	-3.6625389456748962
9	31	the	0.23010170459747314
10	4564	cover	0.0843743085861206
11	11	of	-0.11616742610931396
12	70	this	-0.560204029083252
13	71	movie	0.008890289813280106
14	33	and	-0.355717271566391
15	135	on	-0.20274685323238373
16	2559	imdb	-0.23870587348937988
17	18	.	0.11742657423019409
18	47	it	0.02601635456085205
19	10325	belongs	0.12431039661169052
20	82	in	-0.11237391829490662
21	31	the	0.05656510591506958
22	27400	$2	-0.04393000900745392
23	7871	bin	0.2258487306535244
24	90	at	-1.5741810202598572
25	303	your	0.9522848427295685
26	684	local	0.884302020072937
27	1619	video	2.4626102447509766
28	1850	store	0.3334282487630844
29	18	.	0.23242735862731934
30	7	to	-0.024368882179260254
31	79	say	-0.4227486848831177
32	42	that	0.6771084070205688
33	70	this	-0.06492877006530762
34	41	is	-0.32965540885925293
35	9	a	0.1964065432548523
36	1109	b	0.8455331325531006
37	71	movie	0.4195954240858555
38	41	is	-0.25120940804481506
39	2313	extremely	0.8939817547798157
40	15196	generous	0.18260444700717926
41	18	.	0.08681291341781616
42	2437	besides	0.08915024995803833
43	2260	lacking	-0.30893468856811523
44	9	a	0.07596944272518158
45	2581	single	-0.4681600034236908
46	16467	redeemable	-0.4923825114965439
47	98	character	0.7631818056106567
48	14	,	-0.15754670277237892
49	20	only	0.6694265902042389
50	1058	slightly	0.32660794258117676
51	529	better	0.6830061376094818
52	107	than	0.04527324438095093
53	1327	average	0.31026163697242737
54	579	acting	0.05344575643539429
55	14	,	-0.0943480134010315
56	33	and	-0.567183643579483
57	268	an	0.4247540161013603
58	6637	ugly	0.4545617401599884
59	1311	80	-0.40106768906116486
60	4	'	0.2946062311530113
61	152	s	-0.6988116279244423
62	95	style	0.008856184780597687
63	495	picture	-0.4560050219297409
64	2198	quality	-0.5257290601730347
65	14	,	-0.07847368717193604
66	31	the	0.09543173015117645
67	769	script	0.11702501773834229
68	222	for	-0.04764915630221367
69	70	this	-0.4849764108657837
70	63	film	-0.26364972442388535
71	41	is	-0.2552248239517212
72	1925	dull	-0.04452550411224365
73	33	and	-0.4664609581232071
74	10288	lifeless	0.4414292424917221
75	18	.	1.2464563250541687
76	70	this	-0.40733474493026733
77	63	film	-0.6048750877380371
78	41	is	-0.22526425123214722
79	17	not	0.2510110139846802
80	20	only	0.3694235496222973
81	1	<unk>	-0.3303574323654175
82	41	is	-0.32201724499464035
83	4894	pathetic	-0.19218499958515167
84	18	.	0.06171220541000366
85	236	(	-4.041085958480835
86	5506	admittedly	0.2682129144668579
87	14	,	-0.2316184937953949
88	158	there	0.4120006635785103
89	41	is	-0.2061593234539032
90	5642	occasionally	0.05722256004810333
91	120	some	-0.0755515843629837
92	10697	mildly	-0.08196520805358887
93	1112	interesting	0.23633074760437012
94	4729	chemistry	-0.5631861984729767
95	790	between	-0.4917680025100708
96	31	the	0.0819801390171051
97	595	two	-0.5172933004796505
98	1119	main	-1.0858437456190586
99	93	characters	0.4140852093696594
100	18	.	0.1368761658668518
101	254	)	0.40358829498291016
102	970	even	0.42828260362148285
103	31	the	0.21241039037704468
104	250	final	-0.027995936572551727
105	1343	plot	1.113823026418686
106	1	<unk>	-0.5046306550502777
107	14	,	-0.10652804374694824
108	31	the	0.1526164412498474
109	20	only	0.40854470431804657
110	1343	plot	2.3891833424568176
111	1	<unk>	-0.6951057314872742
112	17	not	0.2489207535982132
113	2219	save	1.4424994625151157
114	70	this	-0.360539972782135
115	63	film	-0.2953178435564041
116	18	.	0.09633421897888184
117	886	rent	-0.32139061391353607
118	355	diamond	0.744698166847229
119	833	men	-0.26183217763900757
120	637	if	-0.03365367650985718
121	310	you	-0.21900346875190735
122	2615	must	1.1227419078350067
123	14	,	-0.15608763694763184
124	57	but	0.4047856777906418
125	76	do	0.35679125785827637
126	17	not	0.24028350040316582
127	10807	hesitate	-0.7748358696699142
