sample=206 explainer=permutation target=0 sample_size=128
detokenized_full_text: i would rate this film high on my list of ingrid bergman films . ingrid ' s beauty aside , her talent is evident in scene after scene . she was sad , mean , witty , snobbish , <unk> , delightfully funny , loving , tender , sorrowful , distressed , happy , etc . you name it , she was all those things and more . -and so convincing . ingrid plays a notorious woman ( <unk> ) who comes back to new orleans and falls for a texas gambler , gary cooper ( clint ) . i especially loved the scene where they are sitting at the dining table saying nothing , just staring at each other . she , in an elegant white gown
idx	token_id	token_str	shap_value
0	2	i	0.09285014867782593
1	138	would	0.7059227228164673
2	1460	rate	0.3233993276953697
3	70	this	-0.14661751687526703
4	63	film	-0.06420613452792168
5	304	high	-0.06416749954223633
6	135	on	-0.6591136157512665
7	83	my	-0.39723214507102966
8	3702	list	-0.3736741542816162
9	11	of	-0.03285917639732361
10	24518	ingrid	0.01336730271577835
11	11916	bergman	-0.4890775680541992
12	25	films	0.26762548834085464
13	18	.	-0.06403744220733643
14	24518	ingrid	-1.955444574356079
15	4	'	1.2791057527065277
16	152	s	-0.7029114663600922
17	1096	beauty	-0.041136667132377625
18	3549	aside	0.43307027220726013
19	14	,	-0.20170508325099945
20	708	her	-0.26413393020629883
21	1292	talent	0.7654664218425751
22	41	is	-0.13020101189613342
23	8319	evident	-0.05019259452819824
24	82	in	-0.055757880210876465
25	588	scene	0.1532231569290161
26	487	after	-0.1352549046278
27	588	scene	0.19256556034088135
28	18	.	0.0032557249069213867
29	450	she	0.15911660715937614
30	88	was	0.2640843093395233
31	1640	sad	-0.874109148979187
32	14	,	-0.20530684292316437
33	2287	mean	-0.016473114490509033
34	14	,	-0.1533794403076172
35	3708	witty	0.13914847373962402
36	14	,	-0.2676631361246109
37	17246	snobbish	-0.1133347600698471
38	14	,	-0.1680244356393814
39	1	<unk>	-1.1114552579820156
40	14	,	-0.22063663601875305
41	16728	delightfully	-2.2871609032154083
42	343	funny	-0.530754566192627
43	14	,	-0.1548473834991455
44	1841	loving	-0.16068971157073975
45	14	,	-0.231870885938406
46	14418	tender	4.632844090461731
47	14	,	-0.15217070281505585
48	22440	sorrowful	-2.7771568298339844
49	14	,	-0.1428242325782776
50	2087	distressed	-1.3994929790496826
51	14	,	-0.17389953136444092
52	1639	happy	-1.1064754575490952
53	14	,	-0.1635986864566803
54	341	etc	0.08031952381134033
55	18	.	0.1543833166360855
56	310	you	-1.0186944641172886
57	2794	name	0.5465161800384521
58	47	it	0.012253589928150177
59	14	,	-0.16417112946510315
60	450	she	-0.9548753499984741
61	88	was	0.14806415140628815
62	544	all	0.34110674262046814
63	977	those	-0.25654973834753036
64	174	things	0.6985806226730347
65	33	and	-0.9963945150375366
66	102	more	-0.03324387967586517
67	18	.	-0.04460859298706055
68	11743	-and	0.6871994100511074
69	26	so	0.02302253246307373
70	1410	convincing	0.5211002230644226
71	18	.	-0.0510638952255249
72	24518	ingrid	-0.6957976222038269
73	1454	plays	-0.9988536089658737
74	9	a	0.21735601127147675
75	6442	notorious	-0.2172151729464531
76	413	woman	7.345321238040924
77	236	(	-0.4297771453857422
78	1	<unk>	-0.4025551676750183
79	254	)	0.2533273696899414
80	347	who	0.013142764568328857
81	386	comes	-1.904084026813507
82	371	back	0.18151117861270905
83	7	to	0.02565065026283264
84	615	new	-0.8135761767625809
85	3675	orleans	-0.926485501229763
86	33	and	-0.520321786403656
87	4067	falls	0.7436977475881577
88	222	for	-0.02561512589454651
89	9	a	0.17661449313163757
90	9487	texas	0.517137348651886
91	16406	gambler	-0.18839837610721588
92	14	,	-0.12344267964363098
93	1245	gary	0.2544197291135788
94	1494	cooper	0.07070803642272949
95	236	(	-0.2018003761768341
96	9303	clint	0.7220277488231659
97	254	)	0.5682438611984253
98	18	.	0.04094608873128891
99	2	i	0.09172716736793518
100	117	especially	0.15975773334503174
101	597	loved	-0.47079460322856903
102	31	the	0.126418799161911
103	588	scene	0.08058635890483856
104	509	where	-0.9343824684619904
105	622	they	1.0712219774723053
106	226	are	-0.14564885199069977
107	2670	sitting	2.0386931896209717
108	90	at	-0.4390019178390503
109	31	the	0.1321123093366623
110	25941	dining	1.3688311874866486
111	8209	table	0.4941903352737427
112	3217	saying	1.3838861882686615
113	207	nothing	0.6378338038921356
114	14	,	-0.17460868507623672
115	122	just	0.6440063565969467
116	5656	staring	-0.41754934191703796
117	90	at	-0.17559731379151344
118	774	each	-0.5998029708862305
119	476	other	-0.5395956039428711
120	18	.	0.1133786141872406
121	450	she	-0.29034698009490967
122	14	,	-0.18484866619110107
123	82	in	-0.16997858881950378
124	268	an	0.5001428425312042
125	7316	elegant	-0.9192510209977627
126	3583	white	0.5598292648792267
127	19123	gown	0.12732373923063278
