sample=144 explainer=permutation target=0 sample_size=128
detokenized_full_text: low budget horror movie . if you don ' t raise your expectations too high , you ' ll probably enjoy this little flick . beginning and end are pretty good , middle drags at times and seems to go nowhere for long periods as we watch the goings on of the insane that add atmosphere but do not advance the plot . quite a bit of gore . i enjoyed bill <unk> ' s performance which he made quite believable for such a low budget picture , he managed to carry the movie at times when nothing much seemed to be happening . nurse charlotte beale , played by jesse lee , played her character well so be prepared to want to slap her toward the end
idx	token_id	token_str	shap_value
0	973	low	0.9541454911231995
1	105	budget	-0.39853161573410034
2	1888	horror	-0.10478603839874268
3	71	movie	0.08412408828735352
4	18	.	-1.298085555434227
5	637	if	0.0725477933883667
6	310	you	-1.1574694365262985
7	1165	don	0.07182157039642334
8	4	'	0.0768897533416748
9	5	t	-0.6818485260009766
10	7881	raise	0.007272779941558838
11	303	your	1.3916716426610947
12	3602	expectations	-0.18669742345809937
13	175	too	0.527798056602478
14	304	high	-0.02343684434890747
15	14	,	-0.14065808057785034
16	310	you	-0.3298622965812683
17	4	'	0.08823668956756592
18	1230	ll	0.11026400327682495
19	1047	probably	-0.49610984325408936
20	547	enjoy	-0.48558181524276733
21	70	this	-0.22361981868743896
22	115	little	-0.34411317110061646
23	2233	flick	-0.7581496238708496
24	18	.	0.2843429446220398
25	1845	beginning	0.2917836904525757
26	33	and	-0.4701060652732849
27	119	end	-0.3909372091293335
28	226	are	-1.3355906680226326
29	513	pretty	0.012905478477478027
30	204	good	0.09870266914367676
31	14	,	-0.4863748550415039
32	448	middle	0.34195399284362793
33	4133	drags	-2.3781489431858063
34	90	at	-0.205718994140625
35	335	times	-1.1435891352593899
36	33	and	-0.26920080184936523
37	210	seems	0.07844114303588867
38	7	to	0.023603081703186035
39	796	go	0.4058650732040405
40	1532	nowhere	0.4712998867034912
41	222	for	0.0763595700263977
42	766	long	2.995874673128128
43	7310	periods	1.8456892222166061
44	145	as	-0.7726350873708725
45	780	we	0.07257866859436035
46	540	watch	-0.010279834270477295
47	31	the	0.28829410672187805
48	21456	goings	1.6837776750326157
49	135	on	-0.856519065797329
50	11	of	-0.1939317137002945
51	31	the	0.15914982557296753
52	5966	insane	1.0812901854515076
53	42	that	-0.19440805912017822
54	252	add	0.03677204251289368
55	1060	atmosphere	-0.06064105033874512
56	57	but	0.3450683355331421
57	76	do	0.9603315889835358
58	17	not	0.8303770124912262
59	9776	advance	0.7168803811073303
60	31	the	0.3193214386701584
61	1343	plot	0.5685989260673523
62	18	.	0.04210776090621948
63	1101	quite	1.5629150085151196
64	9	a	0.2093498557806015
65	382	bit	-0.35918307304382324
66	11	of	-0.03188812732696533
67	475	gore	-0.20680999755859375
68	18	.	0.12891197204589844
69	2	i	0.11157840490341187
70	374	enjoyed	-0.5703486204147339
71	1869	bill	-0.6119441986083984
72	1	<unk>	-0.3340883255004883
73	4	'	5.886349454522133
74	152	s	-0.5392606854438782
75	187	performance	-1.291175663471222
76	209	which	0.2566148042678833
77	370	he	-0.3334552198648453
78	100	made	0.15263819694519043
79	1101	quite	0.36229026317596436
80	1376	believable	-0.389517605304718
81	222	for	-0.021816611289978027
82	559	such	1.7441167384386063
83	9	a	0.06818801164627075
84	973	low	1.0048942565917969
85	105	budget	-0.30310821533203125
86	495	picture	-6.102439045906067
87	14	,	-0.6176455765962601
88	370	he	-0.3261546492576599
89	3526	managed	-0.28997623920440674
90	7	to	-0.006978273391723633
91	728	carry	-0.18713176250457764
92	31	the	0.17052394151687622
93	71	movie	0.08716487884521484
94	90	at	-0.8463984839618206
95	335	times	-0.4199756979942322
96	700	when	-0.33015407621860504
97	207	nothing	0.8862484097480774
98	228	much	-0.012418627738952637
99	3311	seemed	-0.03715580701828003
100	7	to	0.019580602645874023
101	8	be	2.0018089078366756
102	3301	happening	0.4864248037338257
103	18	.	0.20000332593917847
104	7687	nurse	-0.8856635242700577
105	5001	charlotte	-0.43122005462646484
106	11330	beale	0.08251431584358215
107	14	,	-0.18193018436431885
108	2188	played	-0.2545202970504761
109	167	by	-0.25454890727996826
110	6566	jesse	-0.07963275909423828
111	3005	lee	0.5348882079124451
112	14	,	-0.17221450805664062
113	2188	played	-0.4967837929725647
114	708	her	-2.649972677230835
115	98	character	0.30910253524780273
116	141	well	-0.41267287731170654
117	26	so	0.04830741882324219
118	8	be	0.29057776927948
119	1461	prepared	1.0366509705781937
120	7	to	0.022550523281097412
121	602	want	0.08423018455505371
122	7	to	-0.035264819860458374
123	4585	slap	0.6036522388458252
124	708	her	-0.13247531652450562
125	1800	toward	-0.049133121967315674
126	31	the	0.1375463604927063
127	119	end	-0.19357627630233765
