sample=128 explainer=permutation target=0 sample_size=128
detokenized_full_text: <unk> <unk>  a passion play . based on <unk> <unk> ' s novel of the same name , this is a classic tale of deception , adultery and relationship exploitation . set in 1900 bengal , director <unk> <unk> transformed the nobel <unk> ' acclaimed literature into a delightful visual treat . <unk> ' s story <unk> deals with the <unk> society , through his central character , the rebellious widow , who wants to live a life of her own . we are taken into the <unk> part of bengal , where we meet our heroine , the beautiful , young widow <unk> ( aishwarya <unk> ) . despite her gorgeous looks , two handsome men , the rich <unk> ( <unk> <unk> ) and his
idx	token_id	token_str	shap_value
0	1	<unk>	-0.2205979824066162
1	1	<unk>	-0.4148375988006592
2	5808		0.09703183174133301
3	9	a	0.05226445198059082
4	4545	passion	-0.10307455062866211
5	1061	play	-0.15187454223632812
6	18	.	0.05276632308959961
7	1557	based	0.3015782833099365
8	135	on	0.01977705955505371
9	1	<unk>	-1.0308289527893066
10	1	<unk>	-0.14310693740844727
11	4	'	0.03796553611755371
12	152	s	-0.050310373306274414
13	746	novel	0.7162055969238281
14	11	of	0.025556325912475586
15	31	the	0.4106875956058502
16	686	same	0.505078911781311
17	2794	name	0.13259100914001465
18	14	,	-0.07149910926818848
19	70	this	0.40959644317626953
20	41	is	0.11039495468139648
21	9	a	0.06303119659423828
22	68	classic	-0.10716009140014648
23	50	tale	-0.026788711547851562
24	11	of	0.015003204345703125
25	7292	deception	0.17597198486328125
26	14	,	-0.05038249492645264
27	15533	adultery	0.011204957962036133
28	33	and	-0.06982302665710449
29	1118	relationship	0.12073230743408203
30	3472	exploitation	-0.08761286735534668
31	18	.	0.049919843673706055
32	538	set	0.10777950286865234
33	82	in	0.19472265243530273
34	6836	1900	-0.18836712837219238
35	13749	bengal	-0.2319037914276123
36	14	,	-0.04230976104736328
37	404	director	0.11373066902160645
38	1	<unk>	-0.1129082441329956
39	1	<unk>	-0.1921067237854004
40	16569	transformed	-0.39127349853515625
41	31	the	0.3701429069042206
42	22681	nobel	0.0333247184753418
43	1	<unk>	-0.10468542575836182
44	4	'	0.02756977081298828
45	11813	acclaimed	-0.4124985933303833
46	2072	literature	0.016858339309692383
47	368	into	-0.09891414642333984
48	9	a	0.11636734008789062
49	3646	delightful	-0.06801700592041016
50	4127	visual	-0.000377655029296875
51	6780	treat	-0.392458438873291
52	18	.	0.0417323112487793
53	1	<unk>	-5.07177734375
54	4	'	2.3486146926879883
55	152	s	-0.07143807411193848
56	202	story	-5.805014789104462
57	1	<unk>	-0.11496782302856445
58	2613	deals	0.10899043083190918
59	126	with	0.08464741706848145
60	31	the	0.29799243807792664
61	1	<unk>	-0.14114022254943848
62	1237	society	-0.11272001266479492
63	14	,	-0.33612895011901855
64	783	through	0.1423969268798828
65	23	his	0.17296695709228516
66	2065	central	-0.14834189414978027
67	98	character	0.16500091552734375
68	14	,	-0.06743335723876953
69	31	the	0.034824371337890625
70	8295	rebellious	-0.15062463283538818
71	15621	widow	-0.08409833908081055
72	14	,	-0.11253666877746582
73	347	who	0.12842488288879395
74	795	wants	0.266376256942749
75	7	to	0.029886484146118164
76	148	live	0.25040149688720703
77	9	a	0.05849599838256836
78	749	life	0.043183326721191406
79	11	of	-0.020426034927368164
80	708	her	0.0018758773803710938
81	981	own	-0.08129048347473145
82	18	.	0.04352402687072754
83	780	we	-0.5995965301990509
84	226	are	0.01992630958557129
85	2370	taken	2.3821125626564026
86	368	into	-0.9597551226615906
87	31	the	-0.0027053356170654297
88	1	<unk>	-0.11935782432556152
89	342	part	0.27686500549316406
90	11	of	-0.0739569365978241
91	13749	bengal	-0.18284189701080322
92	14	,	-0.10532832145690918
93	509	where	-0.11103260517120361
94	780	we	0.054765939712524414
95	2396	meet	-0.06052589416503906
96	2767	our	0.5182101726531982
97	701	heroine	0.009374856948852539
98	14	,	-0.2643561363220215
99	31	the	0.0323946475982666
100	58	beautiful	-0.3517172336578369
101	14	,	-0.05651688575744629
102	2255	young	0.10344409942626953
103	15621	widow	-0.08098280429840088
104	1	<unk>	-0.10754942893981934
105	236	(	-0.019193172454833984
106	16267	aishwarya	0.262876033782959
107	1	<unk>	-0.12633037567138672
108	254	)	0.10762894153594971
109	18	.	0.10632443428039551
110	1106	despite	0.14514899253845215
111	708	her	0.007406949996948242
112	3659	gorgeous	0.28342318534851074
113	433	looks	0.41835713386535645
114	14	,	-0.04466521739959717
115	595	two	-0.030149459838867188
116	804	handsome	0.21904754638671875
117	833	men	0.03404378890991211
118	14	,	-0.4556637704372406
119	31	the	-0.019562244415283203
120	6440	rich	3.128776252269745
121	1	<unk>	-0.17736577987670898
122	236	(	-0.13197171688079834
123	1	<unk>	-0.11006736755371094
124	1	<unk>	-0.19189739227294922
125	254	)	0.11256790161132812
126	33	and	-0.34594106674194336
127	23	his	0.3217895030975342
