sample=84 explainer=permutation target=0 sample_size=128
detokenized_full_text: along with having minor flaws to it , this film is a masterpiece , and most definitely the best war film i ' ve seen . not the mention it ' s one of the best films i ' ve seen in all genres . i might have written this for no man ' s land before , but now i think this one ' s better . it ' s very sad in the ending , and i almost cried after the two shocking scenes that came within 5 minutes close to the film ' s final . <unk> ' s performance as the main character was fascinating although he ' s supposed to be a rookie considering his age . this film makes you think a
idx	token_id	token_str	shap_value
0	53	along	-0.09683740139007568
1	126	with	0.03188765048980713
2	874	having	-0.6087530851364136
3	4428	minor	-2.1330215483903885
4	1908	flaws	0.4513636827468872
5	7	to	-0.01693892478942871
6	47	it	-0.002190828323364258
7	14	,	-0.07241594791412354
8	70	this	-0.20476138591766357
9	63	film	-0.3889346122741699
10	41	is	-0.06129765510559082
11	9	a	0.18269944190979004
12	2895	masterpiece	-0.5883722305297852
13	14	,	-0.06307196617126465
14	33	and	-0.1322556734085083
15	44	most	0.08489704132080078
16	299	definitely	-0.10306644439697266
17	31	the	0.0010874271392822266
18	235	best	-1.5247727632522583
19	4366	war	-3.4912146031856537
20	63	film	-0.022294044494628906
21	2	i	0.040623486042022705
22	4	'	0.09227049350738525
23	575	ve	0.07015836238861084
24	1065	seen	0.1349424123764038
25	18	.	0.09631741046905518
26	17	not	0.2602912187576294
27	31	the	0.575239971280098
28	74	mention	0.7177728116512299
29	47	it	-0.4479416161775589
30	4	'	2.6649976670742035
31	152	s	-0.5854063667356968
32	233	one	0.005212187767028809
33	11	of	0.13808906078338623
34	31	the	0.2076880931854248
35	235	best	-0.2846733331680298
36	25	films	0.4265236258506775
37	2	i	-0.8722295761108398
38	4	'	0.01945197582244873
39	575	ve	0.05832839012145996
40	1065	seen	0.1372356414794922
41	82	in	-0.008831262588500977
42	544	all	0.06955397129058838
43	2297	genres	-1.6723112612962723
44	18	.	0.2243824005126953
45	2	i	0.04621016979217529
46	2228	might	0.2802077531814575
47	19	have	3.289365828037262
48	718	written	-0.13121628761291504
49	70	this	-0.012515902519226074
50	222	for	0.020769238471984863
51	127	no	0.7961879968643188
52	1022	man	-0.019957661628723145
53	4	'	0.14311659336090088
54	152	s	-0.11591207981109619
55	12065	land	-0.05415022373199463
56	604	before	0.18170452117919922
57	14	,	-0.07339811325073242
58	57	but	0.16317963600158691
59	373	now	-0.291825532913208
60	2	i	0.02238774299621582
61	1092	think	-2.007631480693817
62	70	this	-0.03172886371612549
63	233	one	0.08494364470243454
64	4	'	0.03032243251800537
65	152	s	-0.7413673549890518
66	529	better	0.15692877769470215
67	18	.	0.05365467071533203
68	47	it	-0.01104581356048584
69	4	'	0.045632004737854004
70	152	s	-0.2858600616455078
71	67	very	-0.09732818603515625
72	1640	sad	-0.2063354253768921
73	82	in	-0.007451891899108887
74	31	the	0.006294369697570801
75	791	ending	0.15394186973571777
76	14	,	-3.504509389400482
77	33	and	-0.10755062103271484
78	2	i	0.032044410705566406
79	961	almost	-1.1820966452360153
80	8986	cried	0.0287015438079834
81	487	after	0.025903940200805664
82	31	the	0.011810064315795898
83	595	two	-0.152923583984375
84	4561	shocking	0.14579570293426514
85	121	scenes	0.3517540693283081
86	42	that	-0.3224722146987915
87	778	came	-0.07041716575622559
88	814	within	0.013134866952896118
89	22	5	-1.127422720193863
90	1902	minutes	1.0608112514019012
91	1225	close	0.7537011615931988
92	7	to	0.007749199867248535
93	31	the	0.9320157319307327
94	63	film	-0.056520819664001465
95	4	'	1.763290673494339
96	152	s	-0.1267787218093872
97	250	final	0.10774007439613342
98	18	.	0.14050710201263428
99	1	<unk>	-0.1314467191696167
100	4	'	0.03515958786010742
101	152	s	-0.3148428201675415
102	187	performance	-0.5917026400566101
103	145	as	-0.3819190263748169
104	31	the	0.0009980201721191406
105	1119	main	0.004397988319396973
106	98	character	0.12769997119903564
107	88	was	0.1022258996963501
108	3757	fascinating	-0.49284040927886963
109	393	although	1.3980977535247803
110	370	he	-0.06281816959381104
111	4	'	4.229317009449005
112	152	s	-0.14562594890594482
113	400	supposed	1.7026212811470032
114	7	to	0.09947371482849121
115	8	be	-0.057028889656066895
116	9	a	0.0002657771110534668
117	9038	rookie	-3.7542739510536194
118	3902	considering	1.3117374330759048
119	23	his	0.29183006286621094
120	3085	age	0.14416563510894775
121	18	.	0.03940224647521973
122	70	this	-0.027490973472595215
123	63	film	-0.053920745849609375
124	445	makes	0.04935288429260254
125	310	you	-0.0355525016784668
126	1092	think	-0.07768559455871582
127	9	a	0.035578131675720215
