sample=115 explainer=permutation target=0 sample_size=128
detokenized_full_text: but it ' s not . the plot isn ' t all that bad , the actors aren ' t all terrible so it should be decent . instead though despite a good starting point the plot just drags on and suffers from a lot of those i can ' t believe he/she is so dumb moments so often used in horror movies to keep things going . it frustrated me at times watching some of the decision made by the lead character . also it took way too long to get to the good part of the movie . anticipation is great but you can ' t spend over half the movie building it up . a shame too since it got decent exposure upon release and
idx	token_id	token_str	shap_value
0	57	but	0.760905385017395
1	47	it	-0.3316347599029541
2	4	'	0.19535529613494873
3	152	s	-0.9692937731742859
4	17	not	0.35855986177921295
5	18	.	0.10319656133651733
6	31	the	0.6523367166519165
7	1343	plot	0.9353058338165283
8	463	isn	-0.1706390380859375
9	4	'	0.38846907019615173
10	5	t	-0.5577076077461243
11	544	all	0.18977761268615723
12	42	that	-0.13562990725040436
13	197	bad	1.019511103630066
14	14	,	-0.1798316240310669
15	31	the	3.923831582069397
16	183	actors	1.5104339122772217
17	5308	aren	0.1667994260787964
18	4	'	0.23437747359275818
19	5	t	-0.431656152009964
20	544	all	0.13093201816082
21	1835	terrible	0.801018476486206
22	26	so	-0.008588016033172607
23	47	it	-0.36387085914611816
24	247	should	-0.10151147842407227
25	8	be	0.2502184063196182
26	787	decent	-0.7286085784435272
27	18	.	0.08059221506118774
28	627	instead	0.18235325813293457
29	157	though	-0.500540018081665
30	1106	despite	2.5069549083709717
31	9	a	0.13135242462158203
32	204	good	-0.07611739635467529
33	2027	starting	-0.90514350309968
34	1992	point	1.0147230625152588
35	31	the	0.22528745606541634
36	1343	plot	0.9502701759338379
37	122	just	0.4622683674097061
38	4133	drags	-0.3530045747756958
39	135	on	-0.31693291664123535
40	33	and	-0.4178745746612549
41	2158	suffers	-1.1806988716125488
42	376	from	-0.1910586953163147
43	9	a	0.010262131690979004
44	46	lot	-1.0021419823169708
45	11	of	-0.10157382488250732
46	977	those	-2.8596187829971313
47	2	i	0.18249404430389404
48	40	can	0.04676222801208496
49	4	'	0.23596608638763428
50	5	t	-0.4020727872848511
51	443	believe	0.6223329901695251
52	5774	he/she	1.5933905839920044
53	41	is	-0.5617431998252869
54	26	so	-0.17999005317687988
55	6114	dumb	0.6299475431442261
56	1076	moments	-0.3107239603996277
57	26	so	-0.027494855225086212
58	756	often	-1.3950892686843872
59	85	used	-0.423297643661499
60	82	in	-0.14636588096618652
61	1888	horror	-0.42162489891052246
62	149	movies	-0.09271049499511719
63	7	to	0.34059131145477295
64	1019	keep	-0.41936635971069336
65	174	things	0.5648268461227417
66	421	going	0.47677481174468994
67	18	.	0.07870626449584961
68	47	it	-1.7627114057540894
69	6636	frustrated	-0.311768040060997
70	331	me	-0.8932552337646484
71	90	at	-0.708307147026062
72	335	times	-0.510861873626709
73	333	watching	0.9065378308296204
74	120	some	-0.11977899074554443
75	11	of	-0.11031126976013184
76	31	the	0.2414412498474121
77	4299	decision	-1.4859498739242554
78	100	made	0.12613776326179504
79	167	by	-0.23024564236402512
80	31	the	0.24913626909255981
81	1098	lead	0.03703033924102783
82	98	character	0.3633754253387451
83	18	.	0.08186721801757812
84	582	also	-0.5740472078323364
85	47	it	-0.15059590339660645
86	3019	took	-1.5663063526153564
87	1088	way	0.2631700038909912
88	175	too	1.8863641023635864
89	766	long	0.13792133331298828
90	7	to	-0.004013657569885254
91	114	get	0.004209399223327637
92	7	to	2.734849750995636
93	31	the	0.14548254013061523
94	204	good	-0.11171817779541016
95	342	part	0.5104935169219971
96	11	of	-0.06159093976020813
97	31	the	0.27950775623321533
98	71	movie	-0.10513973236083984
99	18	.	0.08775293827056885
100	2993	anticipation	0.1395794153213501
101	41	is	-0.31519055366516113
102	165	great	-1.6277596950531006
103	57	but	0.4268445819616318
104	310	you	-0.30523350834846497
105	40	can	-0.05615353584289551
106	4	'	0.3351800739765167
107	5	t	-0.5595343112945557
108	890	spend	0.6566272974014282
109	176	over	-0.2047213315963745
110	499	half	0.539311408996582
111	31	the	0.1797090768814087
112	71	movie	0.015516519546508789
113	675	building	0.5170441418886185
114	47	it	-0.28828930854797363
115	195	up	0.8122992515563965
116	18	.	-1.334965169429779
117	9	a	0.09680141508579254
118	764	shame	0.5328090190887451
119	175	too	0.6755565106868744
120	503	since	-0.6762957572937012
121	47	it	-0.38689476251602173
122	623	got	0.30383050441741943
123	787	decent	-1.1162078380584717
124	5830	exposure	0.22922158241271973
125	1558	upon	-0.2402287721633911
126	1228	release	-0.13286471366882324
127	33	and	-0.488359272480011
