sample=102 explainer=permutation target=0 sample_size=128
detokenized_full_text: let me just start out by saying that tourist trap is a better movie then 99 . <unk> of the horror films that have come out of hollywood lately . if you don ' t believe me see darkness falls or they . and it is certainly better than any of those crappy direct to video releases like stab , bleed , the pool , and so on . one of the big problems with the film tourist trap is that is never really found an audience . when the film opened in 1979 it was given a pg rating by the mpaa . anyone that knows horror films knows that a pg on a horror film is usually the kiss of death for the film . (
idx	token_id	token_str	shap_value
0	726	let	-0.04882550239562988
1	331	me	-0.7634996175765991
2	122	just	0.3669099807739258
3	2229	start	-0.09042185544967651
4	258	out	0.431512713432312
5	167	by	-1.3217029571533203
6	3217	saying	0.5201990604400635
7	42	that	-0.07965779304504395
8	1728	tourist	0.4793590307235718
9	4706	trap	-0.7022067308425903
10	41	is	-3.4808563590049744
11	9	a	0.09967458248138428
12	529	better	0.7198045253753662
13	71	movie	0.029242277145385742
14	356	then	0.1708965301513672
15	2878	99	0.34870657324790955
16	18	.	0.00884091854095459
17	1	<unk>	-0.43487322330474854
18	11	of	-0.15950894355773926
19	31	the	0.03081202507019043
20	1888	horror	-0.04044055938720703
21	25	films	0.13876092433929443
22	42	that	-0.19170165061950684
23	19	have	2.0339945554733276
24	1302	come	0.2931765913963318
25	258	out	0.1899319887161255
26	11	of	-0.0697750449180603
27	1912	hollywood	-0.1695694923400879
28	6976	lately	0.8566163629293442
29	18	.	0.11663639545440674
30	637	if	-0.06518805027008057
31	310	you	-0.23583797365427017
32	1165	don	0.03828918933868408
33	4	'	0.25943124294281006
34	5	t	-0.5048203468322754
35	443	believe	0.6724061965942383
36	331	me	-0.6433277130126953
37	321	see	-0.7012715935707092
38	6480	darkness	0.2766202762722969
39	4067	falls	0.5686992406845093
40	131	or	1.4001808166503906
41	622	they	2.2494434118270874
42	18	.	-0.5909621715545654
43	33	and	-0.3292812705039978
44	47	it	-0.008584022521972656
45	41	is	-0.0852656364440918
46	380	certainly	-0.1477574110031128
47	529	better	0.3401738405227661
48	107	than	0.08649277687072754
49	179	any	0.40969908237457275
50	11	of	-0.056844234466552734
51	977	those	-0.16818690299987793
52	6649	crappy	0.45756423473358154
53	7306	direct	0.09058082103729248
54	7	to	0.060830116271972656
55	1619	video	0.7913468182086945
56	512	releases	0.21809285879135132
57	103	like	-0.3046482801437378
58	22421	stab	0.15505439043045044
59	14	,	-0.08958840370178223
60	13573	bleed	0.23458755016326904
61	14	,	-0.11441713944077492
62	31	the	3.898889183998108
63	484	pool	0.07604491710662842
64	14	,	-0.1527751088142395
65	33	and	-1.743269443511963
66	26	so	-0.011972546577453613
67	135	on	-0.42913222312927246
68	18	.	0.2269212007522583
69	233	one	-0.030913233757019043
70	11	of	-0.13494110107421875
71	31	the	0.24048209190368652
72	104	big	-0.07348465919494629
73	1708	problems	0.36275553703308105
74	126	with	0.14247334003448486
75	31	the	0.10221397876739502
76	63	film	-0.5814339220523834
77	1728	tourist	0.5562697388231754
78	4706	trap	-2.493185877799988
79	41	is	-0.09635210037231445
80	42	that	-0.21557053923606873
81	41	is	-0.20264875888824463
82	396	never	-0.30626726150512695
83	124	really	0.3570600748062134
84	43	found	-0.4898121654987335
85	268	an	0.6920497119426727
86	732	audience	1.6930501461029053
87	18	.	0.029251813888549805
88	700	when	-0.060925185680389404
89	31	the	0.06659698486328125
90	63	film	-0.6478469371795654
91	2381	opened	-0.6000485420227051
92	82	in	-0.119881272315979
93	8502	1979	0.30243200063705444
94	47	it	-0.018775463104248047
95	88	was	0.2469923496246338
96	227	given	0.0723576545715332
97	9	a	0.19822633266448975
98	12250	pg	0.0186978280544281
99	1185	rating	-0.2925994396209717
100	167	by	-0.08598411083221436
101	31	the	0.1782526969909668
102	23407	mpaa	0.23128223419189453
103	18	.	0.04014742374420166
104	220	anyone	0.16440385580062866
105	42	that	-0.3664970397949219
106	1582	knows	-0.27844250202178955
107	1888	horror	-0.07594847679138184
108	25	films	1.2545493841171265
109	1582	knows	-0.03444623947143555
110	42	that	-0.21001647412776947
111	9	a	0.0809715986251831
112	12250	pg	0.021486878395080566
113	135	on	-0.3808269500732422
114	9	a	-0.09195458889007568
115	1888	horror	-0.1539745330810547
116	63	film	-0.4606815576553345
117	41	is	-0.2117496132850647
118	1924	usually	0.18987387418746948
119	31	the	0.0893494188785553
120	3229	kiss	-0.11338520050048828
121	11	of	-0.03996753692626953
122	992	death	0.8986832499504089
123	222	for	-0.014189362525939941
124	31	the	0.13905030488967896
125	63	film	-0.09874927997589111
126	18	.	-1.3265911936759949
127	236	(	-0.5148944854736328
