sample=133 explainer=permutation target=0 sample_size=128
detokenized_full_text: having avoided seeing the movie in the cinema , but buying the dvd for my wife for <unk> , i had to watch it . i did not expect much , which usually means i get more than i bargained for . but ' <unk> mia ' - utter , utter <unk> . i like <unk> , i like the songs , i have the old <unk> . but this film is just terrible . the stage show looks like a bit of a musical , but this races along with songs <unk> following one another , no characterisation , the dance numbers ( which were heavily choreographed according to the extras on the dvd ) are just thrown away with only half the bodies ever on screen
idx	token_id	token_str	shap_value
0	874	having	-0.16864153742790222
1	8808	avoided	-0.7439985871315002
2	1607	seeing	0.5815493762493134
3	31	the	0.1431889533996582
4	71	movie	0.07221996784210205
5	82	in	-0.03842147812247276
6	31	the	-1.3545478582382202
7	318	cinema	-3.370845526456833
8	14	,	-0.17868050932884216
9	57	but	0.3507627844810486
10	5437	buying	-3.129823684692383
11	31	the	0.05507415533065796
12	493	dvd	-0.46216869354248047
13	222	for	-0.11875343322753906
14	83	my	-0.4407217502593994
15	1362	wife	0.08109399676322937
16	222	for	-0.33843815326690674
17	1	<unk>	-0.504553958773613
18	14	,	-0.3017382025718689
19	2	i	-0.12239629030227661
20	407	had	-0.021298885345458984
21	7	to	0.11013472825288773
22	540	watch	-0.07779258489608765
23	47	it	-0.23564207553863525
24	18	.	0.061949193477630615
25	2	i	0.03604024648666382
26	154	did	0.22785839438438416
27	17	not	0.45557063072919846
28	731	expect	0.5187421329319477
29	228	much	-0.39686715602874756
30	14	,	-0.32781076431274414
31	209	which	0.381757453083992
32	1924	usually	0.5410086363554001
33	2325	means	0.6706484965980053
34	2	i	0.03248727321624756
35	114	get	-0.022111713886260986
36	102	more	0.00940859317779541
37	107	than	-1.6554774045944214
38	2	i	0.07976964116096497
39	17858	bargained	0.6839799880981445
40	222	for	-0.6143121123313904
41	18	.	-0.24008476734161377
42	57	but	2.347985863685608
43	4	'	1.8351571559906006
44	1	<unk>	-0.7511898726224899
45	11564	mia	0.16769884526729584
46	4	'	0.3045427091419697
47	379	-	-0.2770714610815048
48	967	utter	0.8373503386974335
49	14	,	-0.13644623756408691
50	967	utter	0.6040079742670059
51	1	<unk>	-0.5155033320188522
52	18	.	0.20990675687789917
53	2	i	0.06709879636764526
54	103	like	-1.0357829928398132
55	1	<unk>	-0.48104290664196014
56	14	,	-0.22062408924102783
57	2	i	0.17154903709888458
58	103	like	-0.40299732983112335
59	31	the	0.16451239585876465
60	2820	songs	-1.9937213063240051
61	14	,	-0.22644338011741638
62	2	i	0.02542811632156372
63	19	have	0.4071779400110245
64	31	the	-0.02293972671031952
65	423	old	-0.11741316318511963
66	1	<unk>	-1.1876378655433655
67	18	.	0.6700342297554016
68	57	but	0.20726490020751953
69	70	this	-0.3920014202594757
70	63	film	-0.6808171719312668
71	41	is	-0.13449400663375854
72	122	just	1.3439844250679016
73	1835	terrible	1.178063988685608
74	18	.	0.44452130794525146
75	31	the	0.027314484119415283
76	3726	stage	6.953157603740692
77	253	show	-0.5912526547908783
78	433	looks	1.809385597705841
79	103	like	-0.4803362339735031
80	9	a	0.05825692415237427
81	382	bit	-0.7613250613212585
82	11	of	0.03090733289718628
83	9	a	0.21569781005382538
84	2110	musical	0.19732558727264404
85	14	,	-0.741181880235672
86	57	but	0.21387557685375214
87	70	this	-0.28042297065258026
88	14666	races	-0.13417267799377441
89	53	along	-0.4581298232078552
90	126	with	0.2225053310394287
91	2820	songs	-0.6902725398540497
92	1	<unk>	-0.5240716077387333
93	4306	following	0.7006096243858337
94	233	one	0.3694802075624466
95	1134	another	0.14808782935142517
96	14	,	-0.20341721177101135
97	127	no	0.16426438093185425
98	26268	characterisation	-1.38034388422966
99	14	,	-1.0779696702957153
100	31	the	-0.023513108491897583
101	4901	dance	-0.11515383422374725
102	1987	numbers	0.14493925869464874
103	236	(	-0.25291138887405396
104	209	which	4.396133244037628
105	94	were	-0.32469606399536133
106	1050	heavily	0.6256624758243561
107	142	choreographed	-0.9559951275587082
108	3143	according	1.2159271538257599
109	7	to	-0.015500009059906006
110	31	the	-0.01576337218284607
111	505	extras	-0.45251600444316864
112	135	on	-0.45470577478408813
113	31	the	0.09453028440475464
114	493	dvd	-0.27565401792526245
115	254	)	0.36498111486434937
116	226	are	-0.8600238859653473
117	122	just	0.4746851325035095
118	267	thrown	0.013912618160247803
119	486	away	0.6512132287025452
120	126	with	0.41914786398410797
121	20	only	0.7121472433209419
122	499	half	0.4241689145565033
123	31	the	0.07550346851348877
124	1779	bodies	0.4541919231414795
125	1394	ever	0.02142888307571411
126	135	on	-0.31147658824920654
127	3252	screen	-0.3322666250169277
