sample=64 explainer=permutation target=0 sample_size=128
detokenized_full_text: . . . because this is yet another dead one . lifeless voice acting , second-rate animation , contrived and un-funny songs ( although the bit sung by the devil would have been worthy of tim <unk> ) , and a weaker plot than land before time 99 <unk> on parade . i have to admit , i haven ' t seen the first film . i ' m not a big fan of movies involving heaven or dogs , especially not in combination . still , i hope to see the first one soon , as there had to be a reason someone would create such a god-awful sequel . if i didn ' t get this movie for free , i wouldn ' t have it
idx	token_id	token_str	shap_value
0	18	.	0.10558730363845825
1	18	.	0.12076503038406372
2	18	.	0.2715889811515808
3	15	because	-0.37078285217285156
4	70	this	-0.2010805606842041
5	41	is	-0.24299365282058716
6	1163	yet	-0.010857701301574707
7	1134	another	0.03859204053878784
8	1002	dead	0.20537835359573364
9	233	one	-0.0224531888961792
10	18	.	0.046344511210918427
11	10288	lifeless	0.7004125081002712
12	182	voice	0.32050007581710815
13	579	acting	0.4149700701236725
14	14	,	-0.07783651351928711
15	26784	second-rate	0.22345584630966187
16	61	animation	-1.3743149042129517
17	14	,	-0.0962594747543335
18	11572	contrived	0.8279173374176025
19	33	and	-0.1806246042251587
20	11727	un-funny	0.013741910457611084
21	2820	songs	-0.9970974922180176
22	236	(	-0.10808980464935303
23	393	although	-0.07808232307434082
24	31	the	0.28560252487659454
25	382	bit	-0.4347628355026245
26	14962	sung	-1.0051062107086182
27	167	by	-0.21364042162895203
28	31	the	2.1408390402793884
29	1719	devil	0.9823614060878754
30	138	would	0.34576383233070374
31	19	have	1.3141180276870728
32	248	been	0.24136602878570557
33	1509	worthy	1.9306353330612183
34	11	of	-0.01123058795928955
35	4065	tim	-0.5689376592636108
36	1	<unk>	-0.5405370593070984
37	254	)	0.357472687959671
38	14	,	-0.24123412370681763
39	33	and	-0.33162593841552734
40	9	a	-0.16903865337371826
41	13278	weaker	-0.01665341854095459
42	1343	plot	1.9513350129127502
43	107	than	-0.21309542655944824
44	12065	land	-0.13384711742401123
45	604	before	0.024045675992965698
46	552	time	-0.5403023660182953
47	2878	99	0.3417039215564728
48	1	<unk>	-0.8151184469461441
49	135	on	-2.80004346370697
50	7607	parade	0.39922454953193665
51	18	.	0.03668397665023804
52	2	i	0.27013716101646423
53	19	have	6.221552789211273
54	7	to	0.08451521396636963
55	998	admit	-1.803583800792694
56	14	,	-0.0635223388671875
57	2	i	0.2883305549621582
58	2750	haven	-0.4398946166038513
59	4	'	0.1915750503540039
60	5	t	-0.24843370914459229
61	1065	seen	0.244573712348938
62	31	the	0.09134316444396973
63	73	first	-0.16114267706871033
64	63	film	-0.36439967155456543
65	18	.	0.10982364416122437
66	2	i	0.06469659507274628
67	4	'	0.4894365668296814
68	742	m	0.35894203186035156
69	17	not	0.44805586338043213
70	9	a	-0.010047435760498047
71	104	big	-0.14476549625396729
72	10	fan	-2.8468544483184814
73	11	of	-0.2838801145553589
74	149	movies	-0.04813075065612793
75	4377	involving	-0.43512165546417236
76	3402	heaven	-0.03260570764541626
77	131	or	0.17739570140838623
78	3349	dogs	0.28651341795921326
79	14	,	-0.1421400122344494
80	117	especially	0.5235159397125244
81	17	not	0.2008458375930786
82	82	in	-0.165707066655159
83	4887	combination	-0.39198118448257446
84	18	.	0.13307392597198486
85	685	still	-0.37486788630485535
86	14	,	-0.2566305994987488
87	2	i	0.10672992467880249
88	502	hope	-0.42776167392730713
89	7	to	0.4237937033176422
90	321	see	-1.1405487954616547
91	31	the	0.06552016735076904
92	73	first	-0.5065174698829651
93	233	one	-0.021825730800628662
94	1732	soon	-0.924725353717804
95	14	,	-0.0875324010848999
96	145	as	-0.6561539173126221
97	158	there	0.22436940670013428
98	407	had	-0.03068077564239502
99	7	to	0.051823198795318604
100	8	be	0.18994033336639404
101	9	a	0.07762283086776733
102	2527	reason	-0.319992333650589
103	1928	someone	0.5961118936538696
104	138	would	0.28584712743759155
105	5939	create	-0.03957563638687134
106	559	such	0.4358222484588623
107	9	a	1.24143186211586
108	6854	god-awful	-0.6272018998861313
109	398	sequel	-0.16136574745178223
110	18	.	0.1391856074333191
111	637	if	0.03471246361732483
112	2	i	0.06641638278961182
113	770	didn	-0.08846986293792725
114	4	'	0.2709585130214691
115	5	t	-0.6112379431724548
116	114	get	0.23832464218139648
117	70	this	-0.17575663328170776
118	71	movie	-0.027020692825317383
119	222	for	-0.6084346175193787
120	768	free	-0.25910427421331406
121	14	,	-0.08429574966430664
122	2	i	0.07042264938354492
123	4274	wouldn	0.6496954560279846
124	4	'	0.38377881050109863
125	5	t	-0.3556545376777649
126	19	have	0.2784351706504822
127	47	it	-0.37063437700271606
