sample=65 explainer=permutation target=0 sample_size=128
detokenized_full_text: i recently was lucky enough to see the <unk> runner in a small theater , surrounded by seasoned <unk> who knew how to enjoy a masterpiece of such sophistication . with all the controversy surrounding this film ' s central scene these days , i was expecting a piece both crude and violent . but the way mr . forster handled the delicate subject was touching and really , deeply moving . even though the film ' s credits indicated china as the main location for the shoot , i could have sworn i was seeing kabul throughout the scenes which are meant to be taking place in afghanistan . the acting , by non-professionals as well as professional actors , is excellent and the casting is magnificent
idx	token_id	token_str	shap_value
0	2	i	0.04029028117656708
1	2525	recently	-0.2315351665019989
2	88	was	0.35758525133132935
3	7690	lucky	0.5126646868884563
4	645	enough	0.20454981923103333
5	7	to	0.07904016971588135
6	321	see	-0.41251085698604584
7	31	the	0.06848722696304321
8	1	<unk>	-2.3418479561805725
9	10929	runner	0.21109849214553833
10	82	in	-0.03649866580963135
11	9	a	0.02595767378807068
12	2601	small	1.2887614369392395
13	3186	theater	-0.2622556649148464
14	14	,	-0.4079607129096985
15	5415	surrounded	0.17103920504450798
16	167	by	-0.07877421379089355
17	11981	seasoned	-0.5075675472617149
18	1	<unk>	-0.5088061690330505
19	347	who	0.04461321234703064
20	5888	knew	3.372524619102478
21	91	how	-0.19578728079795837
22	7	to	0.06017345190048218
23	547	enjoy	-0.08098620176315308
24	9	a	0.0429021418094635
25	2895	masterpiece	-1.1034595519304276
26	11	of	-0.0417693555355072
27	559	such	0.5593805909156799
28	22601	sophistication	0.33031516149640083
29	18	.	0.3505026400089264
30	126	with	0.14112720265984535
31	544	all	1.712756335735321
32	31	the	1.9733463525772095
33	19250	controversy	-0.08298088610172272
34	2432	surrounding	0.5786958932876587
35	70	this	-0.07197824120521545
36	63	film	-0.13523950800299644
37	4	'	0.07450910285115242
38	152	s	-0.33447597175836563
39	2065	central	-0.4259147346019745
40	588	scene	0.09389358758926392
41	821	these	0.15554480254650116
42	825	days	0.5039849877357483
43	14	,	-0.17817819118499756
44	2	i	0.04396963119506836
45	88	was	0.14657285436987877
46	3627	expecting	-0.19626858830451965
47	9	a	0.07690614461898804
48	3668	piece	0.6509741544723511
49	919	both	-0.2950163632631302
50	336	crude	-0.2551295906305313
51	33	and	-5.156497776508331
52	2576	violent	0.6325761675834656
53	18	.	0.09593915939331055
54	57	but	0.38168859481811523
55	31	the	-0.025998160243034363
56	1088	way	0.43606504797935486
57	1596	mr	0.20068198442459106
58	18	.	0.1575189232826233
59	7428	forster	-7.648709207773209
60	3523	handled	0.8414085619151592
61	31	the	0.11429262161254883
62	19667	delicate	0.2832926958799362
63	2153	subject	-0.06810061633586884
64	88	was	0.15549792349338531
65	7362	touching	0.11823412403464317
66	33	and	-0.2562672272324562
67	124	really	0.46605318784713745
68	14	,	-0.12290772795677185
69	9965	deeply	-0.7344413101673126
70	136	moving	-0.1763901710510254
71	18	.	0.2753501534461975
72	970	even	0.27831095457077026
73	157	though	-0.169318288564682
74	31	the	0.1469314694404602
75	63	film	-1.1629664301872253
76	4	'	0.1402660682797432
77	152	s	-0.3260827288031578
78	5286	credits	0.4169292151927948
79	7252	indicated	0.25641533732414246
80	5521	china	0.16712632775306702
81	145	as	-0.20087959244847298
82	31	the	-0.01670883595943451
83	1119	main	-0.026510119438171387
84	4436	location	-0.11491162702441216
85	222	for	-0.05588635802268982
86	31	the	2.124798595905304
87	1200	shoot	0.25299622118473053
88	14	,	-0.1118367463350296
89	2	i	0.35241276025772095
90	631	could	0.27277684956789017
91	19	have	0.6177830100059509
92	27605	sworn	-0.2784843146800995
93	2	i	0.3067406415939331
94	88	was	0.2184523344039917
95	1607	seeing	1.3363424837589264
96	20637	kabul	0.048222631216049194
97	1872	throughout	0.13346858322620392
98	31	the	0.007188722491264343
99	121	scenes	0.7853238880634308
100	209	which	0.3259376585483551
101	226	are	-0.15425479412078857
102	397	meant	-0.17944183945655823
103	7	to	0.03379072993993759
104	8	be	0.44039956852793694
105	173	taking	-0.15215396881103516
106	651	place	-0.09996840357780457
107	82	in	-0.025620967149734497
108	15284	afghanistan	0.25471943616867065
109	18	.	0.11047035455703735
110	31	the	0.033446699380874634
111	579	acting	0.09387582913041115
112	14	,	-0.08832423388957977
113	167	by	0.813962996006012
114	16498	non-professionals	0.11745479702949524
115	145	as	-0.20152078568935394
116	141	well	-1.9653132259845734
117	145	as	-0.1977274902164936
118	4425	professional	-0.0792900063097477
119	183	actors	0.6459856927394867
120	14	,	-0.16228356957435608
121	41	is	-0.0989641547203064
122	1296	excellent	-0.8144370168447495
123	33	and	-0.30822399258613586
124	31	the	0.04529733955860138
125	527	casting	0.6067770719528198
126	41	is	-0.09478984773159027
127	9071	magnificent	-1.576113909482956
