sample=232 explainer=permutation target=0 sample_size=128
detokenized_full_text: all the characters in this cartoon were hilarious . norman the viking guardian had some memorable phrases and the skull master , the bad guy , would always be <unk> to kill max with some insane <unk> . the writing is the best . i was glued to the set when this would come on when i was younger . if they came out with a dvd of all the episodes they made i would be forced to buy it . this and a conan the barbarian cartoon are the ones i miss the most from childhood . i think these cartoons are the most unappreciated out of all the great cartoons . i used to watch these cartoons on channel 13 in the los angeles area .
idx	token_id	token_str	shap_value
0	544	all	0.17842014133930206
1	31	the	-0.2528974562883377
2	93	characters	0.35837170481681824
3	82	in	-0.01191750168800354
4	70	this	-0.049724072217941284
5	108	cartoon	-2.171550139784813
6	94	were	-0.3052539639174938
7	3815	hilarious	-1.540701150894165
8	18	.	0.277355432510376
9	7965	norman	-1.0192546844482422
10	31	the	-0.020030081272125244
11	5315	viking	1.4904466569423676
12	16296	guardian	-2.4788223803043365
13	407	had	0.06144273281097412
14	120	some	-0.1787862777709961
15	4284	memorable	-0.08581537008285522
16	471	phrases	0.39895904064178467
17	33	and	-0.35895836353302
18	31	the	2.1017530113458633
19	11703	skull	0.42262643575668335
20	1192	master	-0.17902493476867676
21	14	,	-0.03305205702781677
22	31	the	-0.13231676816940308
23	197	bad	0.6849561929702759
24	1326	guy	-0.04660278558731079
25	14	,	-0.3682693690061569
26	138	would	0.30037225782871246
27	1606	always	-0.3921496868133545
28	8	be	0.656451940536499
29	1	<unk>	-0.6083002388477325
30	7	to	0.42887935042381287
31	1315	kill	1.2424222230911255
32	2248	max	-0.691085934638977
33	126	with	0.1230318546295166
34	120	some	-0.11450785398483276
35	5966	insane	1.4424847774207592
36	1	<unk>	-0.6821034550666809
37	18	.	0.15931928157806396
38	31	the	0.22363707423210144
39	581	writing	-0.4961400628089905
40	41	is	-0.3275090493261814
41	31	the	0.05141639709472656
42	235	best	-1.8447273075580597
43	18	.	0.07261276245117188
44	2	i	0.16989660263061523
45	88	was	0.23692160844802856
46	9113	glued	0.03029020130634308
47	7	to	0.388079434633255
48	31	the	-0.06772875785827637
49	538	set	0.43229660391807556
50	700	when	-0.018653273582458496
51	70	this	-0.3899287097156048
52	138	would	0.2784864865243435
53	1302	come	0.7250708341598511
54	135	on	-0.15861915796995163
55	700	when	-0.03496307134628296
56	2	i	0.13227199390530586
57	88	was	0.29624849557876587
58	5281	younger	0.12862622737884521
59	18	.	0.12567999213933945
60	637	if	0.0632321834564209
61	622	they	1.0356485098600388
62	778	came	-0.2860213816165924
63	258	out	0.6074142754077911
64	126	with	0.2831394672393799
65	9	a	0.21191993355751038
66	493	dvd	-0.2095963954925537
67	11	of	0.08162730932235718
68	544	all	0.08063578605651855
69	31	the	-0.09675103425979614
70	3555	episodes	-0.29830509424209595
71	622	they	0.9929403066635132
72	100	made	0.09986233711242676
73	2	i	0.31223392486572266
74	138	would	0.2795083485543728
75	8	be	0.634209156036377
76	357	forced	0.7024089395999908
77	7	to	0.10630077123641968
78	1411	buy	-0.9631093516945839
79	47	it	-0.038068801164627075
80	18	.	0.05092900991439819
81	70	this	-0.382768839597702
82	33	and	-0.3319054841995239
83	9	a	0.37768304347991943
84	55	conan	0.46296797692775726
85	31	the	-0.019539400935173035
86	56	barbarian	0.4786405563354492
87	108	cartoon	0.15272313356399536
88	226	are	-0.3450479358434677
89	31	the	-0.0795208215713501
90	2544	ones	-0.6203306764364243
91	2	i	0.25514471530914307
92	1104	miss	0.9781351685523987
93	31	the	-0.14007548987865448
94	44	most	0.6078377962112427
95	376	from	0.007381953299045563
96	3700	childhood	0.42223361134529114
97	18	.	0.6180310845375061
98	2	i	0.2963627278804779
99	1092	think	-5.351198181509972
100	821	these	0.2778640687465668
101	8063	cartoons	-0.1653977632522583
102	226	are	-0.08030816912651062
103	31	the	0.014126807451248169
104	44	most	-0.08460676670074463
105	5987	unappreciated	0.04915410280227661
106	258	out	1.6546589583158493
107	11	of	-0.05754479765892029
108	544	all	0.32650938630104065
109	31	the	0.01351708173751831
110	165	great	-0.8285907506942749
111	8063	cartoons	-0.26070988178253174
112	18	.	0.09037421643733978
113	2	i	0.23960387706756592
114	85	used	-0.2430616170167923
115	7	to	-0.00910194218158722
116	540	watch	0.004627823829650879
117	821	these	0.35751813650131226
118	8063	cartoons	-0.3243379294872284
119	135	on	-0.19187462329864502
120	1139	channel	-0.5101626366376877
121	3521	13	-0.16230332851409912
122	82	in	-0.01106327772140503
123	31	the	0.03655725717544556
124	5377	los	-0.4236161708831787
125	5378	angeles	0.3509153127670288
126	658	area	0.333615992218256
127	18	.	0.0789622813463211
