sample=39 explainer=permutation target=0 sample_size=128
detokenized_full_text: i ' ve always been fascinated by <unk> , who would know that it will go further than beyond . in ninja iii , it ' s fun creepy and intriguing . a ninja gets shot up by the police , and uses his spirit for revenge . the victim , a lovely young woman named christie ( <unk> dickey ) . she falls for the cop who was involved in the shooting . the love scene where she pours the <unk> on her body knocked me out ! the ninja ' s death gets the attention of another in japan named <unk> ( sho <unk> ) he comes to america not only to save christie , but to put the ninja back to the grave . simply
idx	token_id	token_str	shap_value
0	2	i	0.17203861474990845
1	4	'	0.1542661190032959
2	575	ve	0.15076422691345215
3	1606	always	-0.49007873609662056
4	248	been	0.13720321655273438
5	12748	fascinated	0.8084707260131836
6	167	by	-0.2752119302749634
7	1	<unk>	-0.5425279662013054
8	14	,	-0.14749395847320557
9	347	who	0.0644383430480957
10	138	would	0.17965875566005707
11	636	know	0.18192990124225616
12	42	that	-0.40301406383514404
13	47	it	-0.017685234546661377
14	599	will	-0.7004090547561646
15	796	go	0.08922770619392395
16	2513	further	-0.3754298686981201
17	107	than	0.21540307998657227
18	3065	beyond	-0.9666109979152679
19	18	.	0.11166036128997803
20	82	in	0.01728522777557373
21	1419	ninja	0.1775583028793335
22	391	iii	0.14170094206929207
23	14	,	-0.22613094747066498
24	47	it	-0.07178956270217896
25	4	'	0.2542591691017151
26	152	s	-0.7178465127944946
27	2638	fun	-0.6051721572875977
28	1801	creepy	-0.18245363235473633
29	33	and	-0.8169690370559692
30	4927	intriguing	0.8630130887031555
31	18	.	0.005029737949371338
32	9	a	0.15870869159698486
33	1419	ninja	0.05971252918243408
34	350	gets	0.31873154640197754
35	394	shot	0.14818787574768066
36	195	up	0.6175588965415955
37	167	by	-0.29407358169555664
38	31	the	0.05227416753768921
39	945	police	-0.6065050661563873
40	14	,	-0.19948634505271912
41	33	and	-0.578957200050354
42	1762	uses	0.2714460492134094
43	23	his	0.3811260461807251
44	279	spirit	0.19535693526268005
45	222	for	-0.020566821098327637
46	1240	revenge	0.14394474029541016
47	18	.	0.05715525150299072
48	31	the	0.057311058044433594
49	818	victim	0.9218822717666626
50	14	,	-0.15908968448638916
51	9	a	0.21450909972190857
52	3655	lovely	-3.9416656494140625
53	2255	young	-0.006325840950012207
54	413	woman	0.37283287942409515
55	3938	named	-0.8549084663391113
56	15293	christie	-0.13434964418411255
57	236	(	-0.14173683524131775
58	1	<unk>	-1.6354763805866241
59	9375	dickey	0.5147299766540527
60	254	)	0.19934535026550293
61	18	.	0.05480682849884033
62	450	she	-0.035803258419036865
63	4067	falls	0.6886107921600342
64	222	for	0.06721985340118408
65	31	the	0.05768764019012451
66	5065	cop	0.8835868835449219
67	347	who	0.048462867736816406
68	88	was	0.18837322294712067
69	6147	involved	0.27906227111816406
70	82	in	0.02940315008163452
71	31	the	-0.0028047561645507812
72	2356	shooting	2.5519364178180695
73	18	.	0.04439377784729004
74	31	the	-0.12129092216491699
75	820	love	-9.874209642410278
76	588	scene	0.06273281574249268
77	509	where	-0.7118035554885864
78	450	she	0.0075095035135746
79	3235	pours	0.9754366278648376
80	31	the	0.04075050354003906
81	1	<unk>	-0.6304771900177002
82	135	on	-0.14756321907043457
83	708	her	-0.11989399790763855
84	128	body	2.465629458427429
85	4318	knocked	-1.4133964627981186
86	331	me	-0.7880548238754272
87	258	out	0.7005947828292847
88	574	!	-0.07987689971923828
89	31	the	0.07299298048019409
90	1419	ninja	0.287029504776001
91	4	'	0.25078290700912476
92	152	s	-0.48856407403945923
93	992	death	1.8572512865066528
94	350	gets	0.2569788694381714
95	31	the	0.03832009434700012
96	1892	attention	0.47862207889556885
97	11	of	-0.0033033788204193115
98	1134	another	0.9217624068260193
99	82	in	-0.0011097490787506104
100	6223	japan	0.151397705078125
101	3938	named	-0.7204261720180511
102	1	<unk>	-0.6679764986038208
103	236	(	-0.37800490856170654
104	21283	sho	0.29729628562927246
105	1	<unk>	-0.36085283756256104
106	254	)	0.16504013538360596
107	370	he	-0.09293413162231445
108	386	comes	-0.8399519696831703
109	7	to	-0.04651576280593872
110	908	america	-0.06495822966098785
111	17	not	0.8251008987426758
112	20	only	0.3317194916307926
113	7	to	0.4268711805343628
114	2219	save	1.39776511490345
115	15293	christie	-0.26552069187164307
116	14	,	-0.1270742416381836
117	57	but	7.453730642795563
118	7	to	-0.02730119228363037
119	358	put	0.09034454822540283
120	31	the	-0.07036411762237549
121	1419	ninja	0.030990906059741974
122	371	back	0.31970858573913574
123	7	to	-0.018450379371643066
124	31	the	0.05794619023799896
125	6266	grave	0.9421172142028809
126	18	.	0.12510156631469727
127	401	simply	1.840153306722641
