sample=201 explainer=permutation target=0 sample_size=128
detokenized_full_text: remember greg the bunny ? it was this show that started on the independent film channel , but got turned into a full blown sitcom on fox . my cousin and i thought it was pretty funny , beyond the precocious idea of puppets taking on <unk> material . puppets who kill occurs in a similar universe , where puppets live in the same world as people , and like us , take on jobs and lives of their own . let ' s just say if you couldn ' t handle that , then don ' t bother watching <unk> , as this show is a profile of 4 puppets who fell out of society ' s good graces through drug abuse , <unk> and violent <unk>
idx	token_id	token_str	shap_value
0	1985	remember	-0.3195807710289955
1	9941	greg	0.17852482199668884
2	31	the	0.21846503019332886
3	16152	bunny	0.46403685212135315
4	199	?	0.7982221841812134
5	47	it	-0.3386716954410076
6	88	was	0.14970663189888
7	70	this	-0.15533292293548584
8	253	show	-0.36324453353881836
9	42	that	-0.10663938522338867
10	2049	started	0.0187913179397583
11	135	on	-0.1525261402130127
12	31	the	0.38497796654701233
13	723	independent	-1.1012856364250183
14	63	film	-3.2050710320472717
15	1139	channel	-0.24402859807014465
16	14	,	-0.36106276512145996
17	57	but	0.3497403860092163
18	623	got	0.4851444959640503
19	944	turned	1.9208000749349594
20	368	into	-0.879265308380127
21	9	a	0.20926740765571594
22	245	full	0.19667351245880127
23	2695	blown	0.8653847575187683
24	12606	sitcom	0.343502014875412
25	135	on	-0.2810683250427246
26	1290	fox	-0.3348292112350464
27	18	.	0.08204935863614082
28	83	my	-0.6538311243057251
29	7967	cousin	-0.28006237745285034
30	33	and	-0.26057666540145874
31	2	i	0.2688426971435547
32	947	thought	-0.2044241726398468
33	47	it	-0.2129361890256405
34	88	was	0.1185186505317688
35	513	pretty	0.0196077823638916
36	343	funny	0.43242716789245605
37	14	,	-0.45562219619750977
38	3065	beyond	-0.37068068981170654
39	31	the	0.9369199275970459
40	4403	precocious	0.6486061923205853
41	1116	idea	0.5656924843788147
42	11	of	-0.047387704253196716
43	3424	puppets	1.616870179772377
44	173	taking	-0.17424798011779785
45	135	on	-0.13684290647506714
46	1	<unk>	-0.4351341873407364
47	4845	material	-0.24382123351097107
48	18	.	0.1752030849456787
49	3424	puppets	0.6700546741485596
50	347	who	0.04597741365432739
51	1315	kill	0.5673270486295223
52	1768	occurs	-0.44018420577049255
53	82	in	0.1671639084815979
54	9	a	1.3617403507232666
55	1936	similar	-0.761859267950058
56	7735	universe	-0.8749550580978394
57	14	,	-0.056990623474121094
58	509	where	-0.47937745973467827
59	3424	puppets	0.3723500370979309
60	148	live	0.42568331956863403
61	82	in	-0.43965280055999756
62	31	the	0.1678766906261444
63	686	same	1.1536717116832733
64	289	world	-0.4192909598350525
65	145	as	-0.7183754369616508
66	78	people	0.5553661584854126
67	14	,	-0.2937059551477432
68	33	and	-0.5967321395874023
69	103	like	-4.971130430698395
70	611	us	0.09102070331573486
71	14	,	-0.8197746276855469
72	733	take	-0.3509678840637207
73	135	on	-0.38291941955685616
74	6792	jobs	-0.21495559811592102
75	33	and	-0.42479410767555237
76	3789	lives	0.09981648251414299
77	11	of	-0.17426249384880066
78	837	their	-0.3620781898498535
79	981	own	-0.31778430938720703
80	18	.	0.05235829949378967
81	726	let	-0.2741163969039917
82	4	'	0.14623361825942993
83	152	s	-0.6175382733345032
84	122	just	1.0358709394931793
85	79	say	-0.40118759870529175
86	637	if	0.03739917278289795
87	310	you	-0.13569095730781555
88	528	couldn	0.5957642197608948
89	4	'	0.30214330554008484
90	5	t	-0.2446339726448059
91	7110	handle	-0.675961434841156
92	42	that	-0.13269376754760742
93	14	,	-0.20659369230270386
94	356	then	0.3664117455482483
95	1165	don	2.769607365131378
96	4	'	0.6014776229858398
97	5	t	-0.059003740549087524
98	5406	bother	0.810500979423523
99	333	watching	0.7180297374725342
100	1	<unk>	-0.4691161513328552
101	14	,	-0.1146078109741211
102	145	as	-0.38153567910194397
103	70	this	-0.046420514583587646
104	253	show	-0.2726668119430542
105	41	is	-0.21290838718414307
106	9	a	0.09327200055122375
107	15266	profile	1.1925170421600342
108	11	of	-0.06758531928062439
109	2341	4	0.7773659229278564
110	3424	puppets	0.5712312459945679
111	347	who	0.06126561760902405
112	4592	fell	0.3521285057067871
113	258	out	0.3737064003944397
114	11	of	-0.09325048327445984
115	1237	society	-1.1540535390377045
116	4	'	0.1914539933204651
117	152	s	-0.6901633739471436
118	204	good	0.32874828577041626
119	23320	graces	0.13444262742996216
120	783	through	0.3910343647003174
121	11397	drug	0.7842904627323151
122	1262	abuse	-0.0053369998931884766
123	14	,	-0.09648585319519043
124	1	<unk>	-0.7038113474845886
125	33	and	-0.38355886936187744
126	2576	violent	0.7656496167182922
127	1	<unk>	-0.3332472890615463
