sample=228 explainer=permutation target=0 sample_size=128
detokenized_full_text: the wizard of <unk> park was deeply responsible for many things we take for granted in 2007 even if he did not invent them without rivals or assistants , he gave birth to the electric light , the <unk> , the motion picture camera , the electric car battery , the electric power <unk> ( possibly his most important but least recalled invention ) , the <unk> house , and <unk> to the telephone and telegraph , as well as the <unk> machine and an early voting machine . the total number of <unk> is over 1 , 000 - far more than any other american inventor . but edison was a ruthless business competitor . he frequently had vast legal fights over the <unk> of his inventions
idx	token_id	token_str	shap_value
0	31	the	0.14797355979681015
1	3109	wizard	0.2621779441833496
2	11	of	-0.03507739305496216
3	1	<unk>	-0.677910715341568
4	3904	park	-0.9412980377674103
5	88	was	0.26483193039894104
6	9965	deeply	-1.7133853547275066
7	4540	responsible	-0.8546843975782394
8	222	for	-0.002398252487182617
9	1615	many	0.7038233056664467
10	174	things	0.40378519147634506
11	780	we	-0.08073772117495537
12	733	take	-0.661156415939331
13	222	for	-0.03151696175336838
14	3707	granted	-0.32938554883003235
15	82	in	-0.07504814863204956
16	13264	2007	-3.0191398561000824
17	970	even	0.5006494075059891
18	637	if	0.07062533497810364
19	370	he	-0.21554818749427795
20	154	did	0.20893344283103943
21	17	not	0.3464043587446213
22	1937	invent	2.462148904800415
23	230	them	-0.6371798366308212
24	468	without	-1.493959441781044
25	1492	rivals	1.2732593566179276
26	131	or	0.33926036953926086
27	19106	assistants	0.11156502366065979
28	14	,	-0.2744913399219513
29	370	he	-0.20846761763095856
30	2803	gave	0.4044308364391327
31	9387	birth	-0.21659144759178162
32	7	to	0.016597546637058258
33	31	the	0.0938689112663269
34	12325	electric	-1.560616984963417
35	1634	light	-0.07159563899040222
36	14	,	-0.14846447110176086
37	31	the	0.1372438669204712
38	1	<unk>	-0.6690289117395878
39	14	,	-3.531121999025345
40	31	the	0.15331357717514038
41	4889	motion	0.6606626696884632
42	495	picture	-1.2043295949697495
43	1280	camera	0.6852217763662338
44	14	,	-0.14691662788391113
45	31	the	0.1390293836593628
46	12325	electric	-1.1298727244138718
47	606	car	0.06494678556919098
48	17396	battery	1.007918268442154
49	14	,	-0.8377460539340973
50	31	the	0.06881207227706909
51	12325	electric	-0.584885373711586
52	671	power	-0.21212273836135864
53	1	<unk>	-0.5564322918653488
54	236	(	-0.11458870396018028
55	2542	possibly	-1.9330556690692902
56	23	his	0.4250468276441097
57	44	most	0.04396688938140869
58	1110	important	1.3681067377328873
59	57	but	0.4549412913620472
60	464	least	-0.09403346478939056
61	11162	recalled	1.7088743448257446
62	15847	invention	-0.3487684428691864
63	254	)	0.33636583387851715
64	14	,	-0.15434594079852104
65	31	the	0.10516738891601562
66	1	<unk>	-1.0389990508556366
67	369	house	1.7258723080158234
68	14	,	-0.21379492059350014
69	33	and	-1.6972419321537018
70	1	<unk>	-0.6268795169889927
71	7	to	-0.045461058616638184
72	31	the	0.17508850991725922
73	14172	telephone	-0.5285079181194305
74	33	and	-0.39504389837384224
75	20408	telegraph	0.6940265484154224
76	14	,	-0.2210596278309822
77	145	as	-0.33362220600247383
78	141	well	-0.5567884333431721
79	145	as	-0.9594448506832123
80	31	the	0.24653270468115807
81	1	<unk>	-0.8555754721164703
82	4984	machine	0.14208006858825684
83	33	and	-0.40183940529823303
84	268	an	0.9503409266471863
85	2421	early	1.999244898557663
86	14252	voting	-0.5195812098681927
87	4984	machine	1.376358300447464
88	18	.	0.2895509600639343
89	31	the	0.10062107443809509
90	1017	total	0.6820566542446613
91	1552	number	-0.42621130868792534
92	11	of	-0.04853835701942444
93	1	<unk>	-0.8909324407577515
94	41	is	-0.25783099234104156
95	176	over	-0.17799384519457817
96	2270	1	1.41147093847394
97	14	,	-0.16878542304039001
98	13716	000	0.05780315399169922
99	379	-	-0.04081070423126221
100	27	far	1.9292573779821396
101	102	more	0.042410314083099365
102	107	than	0.18223747238516808
103	179	any	1.1583879590034485
104	476	other	-0.6566215641796589
105	409	american	-0.3421536982059479
106	5443	inventor	-1.5763857662677765
107	18	.	0.3105098307132721
108	57	but	0.5329713299870491
109	23235	edison	-0.5367967486381531
110	88	was	0.42407944798469543
111	9	a	-0.013980075716972351
112	4184	ruthless	4.184678182005882
113	2627	business	0.3622611463069916
114	27500	competitor	1.4778013825416565
115	18	.	0.2431759536266327
116	370	he	-0.2271667718887329
117	16141	frequently	-1.118564933538437
118	407	had	0.28526008129119873
119	10141	vast	0.6045070141553879
120	11836	legal	0.9436529874801636
121	4147	fights	0.9648177176713943
122	176	over	0.12022025883197784
123	31	the	0.11181068420410156
124	1	<unk>	-1.136209785938263
125	11	of	-0.03429765999317169
126	23	his	0.9530968070030212
127	1942	inventions	0.24582535028457642
