sample=95 explainer=permutation target=0 sample_size=128
detokenized_full_text: the most attractive factor that lies in this masterpiece of a film is not the beautiful lead actors . it isn ' t their outstanding acting and <unk> chemistry either . to me , it is the <unk> of the entire movie . the settings , the lighting , the props . . . all add to the mood for love between the main characters . a <unk> of smoke from <unk> ' s cigarette tells us his state of mind , the <unk> <unk> <unk> of <unk> reflects the constraints of <unk> , the ruins of <unk> <unk> ties in with the <unk> relationship of the two leads . the excellent use of <unk> gives the film just the right amount of feel needed to flesh out
idx	token_id	token_str	shap_value
0	31	the	0.20218420028686523
1	44	most	0.16069555282592773
2	9122	attractive	0.21272361278533936
3	5135	factor	0.4109199047088623
4	42	that	-0.0019028186798095703
5	6473	lies	-0.27820730209350586
6	82	in	0.03188037872314453
7	70	this	-0.005528807640075684
8	2895	masterpiece	-0.4455721378326416
9	11	of	-0.009657144546508789
10	9	a	0.08842146396636963
11	63	film	-3.1154462695121765
12	41	is	-0.04323697090148926
13	17	not	0.1340646743774414
14	31	the	0.006148099899291992
15	58	beautiful	-3.5005393773317337
16	1098	lead	0.05183124542236328
17	183	actors	0.2318439483642578
18	18	.	0.1038362979888916
19	47	it	0.018666982650756836
20	463	isn	0.02293872833251953
21	4	'	0.0892716646194458
22	5	t	-0.02500760555267334
23	837	their	-0.23651182651519775
24	5279	outstanding	-0.20618081092834473
25	579	acting	0.058341145515441895
26	33	and	-0.07740569114685059
27	1	<unk>	-0.2386620044708252
28	4729	chemistry	-0.21859276294708252
29	2459	either	0.17122554779052734
30	18	.	0.13889539241790771
31	7	to	0.050309181213378906
32	331	me	-0.16146063804626465
33	14	,	-0.07640540599822998
34	47	it	0.0595017671585083
35	41	is	-0.32820582389831543
36	31	the	0.016226649284362793
37	1	<unk>	-0.25740647315979004
38	11	of	-0.02381265163421631
39	31	the	0.040839552879333496
40	634	entire	0.0622251033782959
41	71	movie	0.08844435214996338
42	18	.	0.05996382236480713
43	31	the	0.018689393997192383
44	2589	settings	-3.096559464931488
45	14	,	-0.04943370819091797
46	31	the	0.008673548698425293
47	7776	lighting	0.38363051414489746
48	14	,	-0.15968430042266846
49	31	the	0.010558366775512695
50	6174	props	2.9426559805870056
51	18	.	0.12313830852508545
52	18	.	0.170501708984375
53	18	.	0.1383599042892456
54	544	all	2.158964693546295
55	252	add	0.0618441104888916
56	7	to	0.046581268310546875
57	31	the	1.444908320903778
58	2520	mood	0.050884127616882324
59	222	for	-0.42215752601623535
60	820	love	-0.38649559020996094
61	790	between	-0.36687684059143066
62	31	the	0.10914266109466553
63	1119	main	0.027981996536254883
64	93	characters	0.2663668394088745
65	18	.	0.06262862682342529
66	9	a	0.08679091930389404
67	1	<unk>	-0.20511841773986816
68	11	of	0.04839515686035156
69	3874	smoke	-0.18721318244934082
70	376	from	0.043976545333862305
71	1	<unk>	-0.1530909538269043
72	4	'	0.13665175437927246
73	152	s	-0.060636043548583984
74	10387	cigarette	0.7458291053771973
75	894	tells	-0.7764055728912354
76	611	us	0.10172462463378906
77	23	his	0.26008760929107666
78	5060	state	-0.08413255214691162
79	11	of	-0.016855716705322266
80	985	mind	0.02233743667602539
81	14	,	-0.019637107849121094
82	31	the	0.3693370819091797
83	1	<unk>	-0.15398919582366943
84	1	<unk>	-0.12174880504608154
85	1	<unk>	-0.1610426902770996
86	11	of	-0.036090850830078125
87	1	<unk>	-0.15671014785766602
88	10020	reflects	0.8299353122711182
89	31	the	0.0194321870803833
90	26791	constraints	0.5856879949569702
91	11	of	-0.015775680541992188
92	1	<unk>	-0.1617058515548706
93	14	,	-0.07319056987762451
94	31	the	0.008452057838439941
95	8991	ruins	-0.4120931625366211
96	11	of	-0.006034135818481445
97	1	<unk>	-1.0413359999656677
98	1	<unk>	-0.26605331897735596
99	4183	ties	-0.032379865646362305
100	82	in	0.01309967041015625
101	126	with	0.08798837661743164
102	31	the	0.0521777868270874
103	1	<unk>	-1.477951094508171
104	1118	relationship	0.20911526679992676
105	11	of	0.019759058952331543
106	31	the	0.05881071090698242
107	595	two	-0.15984833240509033
108	2450	leads	1.702303171157837
109	18	.	1.0953312516212463
110	31	the	0.012592554092407227
111	1296	excellent	-0.13280236721038818
112	2113	use	0.0991675853729248
113	11	of	-0.0054666996002197266
114	1	<unk>	-0.27057886123657227
115	1955	gives	-2.5918102264404297
116	31	the	0.006774187088012695
117	63	film	-0.015788555145263672
118	122	just	0.19347870349884033
119	31	the	0.4186781048774719
120	716	right	-0.3736429214477539
121	3017	amount	0.11087691783905029
122	11	of	-0.011958599090576172
123	101	feel	0.08807837963104248
124	2541	needed	0.15111851692199707
125	7	to	0.0538935661315918
126	4581	flesh	0.10937762260437012
127	258	out	0.16589975357055664
