sample=7 explainer=permutation target=0 sample_size=128
detokenized_full_text: this is a film that every child should see before they grow and get distorted often passed down ideas from generation to generation of family . i grew up in two different places although only 20 miles apart . i went to school & had friends of every color creed & religion for the first 8 years of my life . then i moved to hillbilly country ( although not anymore ) where it was very unusual to even have one african-american kid in your class . my graduating class in high school had 2 or 3 <unk> ( god why can ' t i just say black ? you can call me a honky or <unk> or whatever ! all of this political correctness peeves me as
idx	token_id	token_str	shap_value
0	70	this	-0.0201416015625
1	41	is	-0.09160149097442627
2	9	a	-0.09909379482269287
3	63	film	-0.04533529281616211
4	42	that	-0.03335225582122803
5	190	every	-0.3783186674118042
6	1577	child	-0.3282594680786133
7	247	should	0.07211601734161377
8	321	see	-0.19961035251617432
9	604	before	0.07242542505264282
10	622	they	12.761778652668
11	309	grow	0.030719399452209473
12	33	and	-3.138105034828186
13	114	get	0.0838080644607544
14	6292	distorted	-0.06495785713195801
15	756	often	-0.34528017044067383
16	1903	passed	-0.8713212870061398
17	422	down	0.18271958827972412
18	2665	ideas	1.9459351301193237
19	376	from	0.016183018684387207
20	3078	generation	-0.0027309656143188477
21	7	to	0.17848968505859375
22	3078	generation	-0.0069141387939453125
23	11	of	-0.0671582818031311
24	319	family	0.0092545747756958
25	18	.	0.012942612171173096
26	2	i	0.14349663257598877
27	3603	grew	-0.0713186264038086
28	195	up	0.23778140544891357
29	82	in	-0.5204625129699707
30	595	two	-0.11268126964569092
31	586	different	-0.10821342468261719
32	2672	places	-0.08023494482040405
33	393	although	-0.3338207006454468
34	20	only	0.2863469123840332
35	916	20	0.05500912666320801
36	6431	miles	-0.8885060548782349
37	3416	apart	-0.6438077688217163
38	18	.	-0.011945128440856934
39	2	i	0.3090210109949112
40	317	went	0.39991331100463867
41	7	to	0.04417796432971954
42	3631	school	-0.2909315824508667
43	851	&	-0.08888471126556396
44	407	had	0.01421356201171875
45	838	friends	-0.3259204179048538
46	11	of	-0.058463335037231445
47	190	every	-0.4343852996826172
48	6753	color	0.023357629776000977
49	9147	creed	-0.30316054821014404
50	851	&	0.014306902885437012
51	5705	religion	0.27111732959747314
52	222	for	-0.04132390022277832
53	31	the	-0.009018659591674805
54	73	first	-0.10674142837524414
55	4282	8	-0.19127297401428223
56	553	years	-0.19936859607696533
57	11	of	-0.06218576431274414
58	83	my	-0.15124809741973877
59	749	life	-0.45444411039352417
60	18	.	0.05598258972167969
61	356	then	0.11295270919799805
62	2	i	-4.413402438163757
63	6790	moved	-4.225624203681946
64	7	to	0.03229113668203354
65	2830	hillbilly	-0.19942444562911987
66	2482	country	2.6200568675994873
67	236	(	-0.03782761096954346
68	393	although	-1.2168549299240112
69	17	not	0.14311861991882324
70	8045	anymore	-1.2362009286880493
71	254	)	0.4519365429878235
72	509	where	-0.8113053441047668
73	47	it	-0.71413654088974
74	88	was	0.06362390518188477
75	67	very	-1.0160010159015656
76	1215	unusual	-0.3571610450744629
77	7	to	0.07556545734405518
78	970	even	0.17366176843643188
79	19	have	0.15056991577148438
80	233	one	0.007039666175842285
81	14412	african-american	0.47222840785980225
82	1836	kid	6.798440933227539
83	82	in	-0.020966291427612305
84	303	your	0.23127317428588867
85	3859	class	0.04905390739440918
86	18	.	-0.006984829902648926
87	83	my	-0.7838732451200485
88	13266	graduating	-1.5444730520248413
89	3859	class	0.04871511459350586
90	82	in	-3.1453707814216614
91	304	high	0.024964094161987305
92	3631	school	-0.2270141839981079
93	407	had	-0.06540772318840027
94	2267	2	0.30931687355041504
95	131	or	0.08626949787139893
96	515	3	0.22271636500954628
97	1	<unk>	-0.13670790195465088
98	236	(	-0.08683758974075317
99	1876	god	-0.08203530311584473
100	1124	why	-1.21498903632164
101	40	can	0.09602940082550049
102	4	'	0.15253865718841553
103	5	t	-0.04497182369232178
104	2	i	0.1077343225479126
105	122	just	0.5590336918830872
106	79	say	-0.15261125564575195
107	496	black	0.0074841976165771484
108	199	?	0.40623170137405396
109	310	you	-0.04615902900695801
110	40	can	0.12738573551177979
111	5043	call	0.9873185157775879
112	331	me	-1.6787999272346497
113	9	a	-0.06763359904289246
114	28154	honky	0.25532233715057373
115	131	or	0.09317314624786377
116	1	<unk>	-0.7717554569244385
117	131	or	0.09976720809936523
118	1009	whatever	0.9363624453544617
119	574	!	0.031586647033691406
120	544	all	0.045476436614990234
121	11	of	-0.07551789283752441
122	70	this	-0.2218685746192932
123	3262	political	0.12711691856384277
124	8791	correctness	0.14465415477752686
125	22377	peeves	0.05301707983016968
126	331	me	-0.360959529876709
127	145	as	-0.10922408103942871
