sample=10 explainer=permutation target=0 sample_size=128
detokenized_full_text: think of this film as fan service , a wet dream for the slasher genre admirer . we start off with a gory prologue which is pretty much unrelated to the rest of the film . flash forward nine months and the real meat of the plot begins the virginal <unk> lane is <unk> by every jock and nerd in her school , and gets invited to spend a weekend at a ranch by three guys who think they can get lucky , and two bimbos obsessed with their weight and boob size . so . . you have a bunch of young students in a house in the middle of nowhere on a dark night , who want to do nothing but have sex , do drugs
idx	token_id	token_str	shap_value
0	1092	think	-0.6313052177429199
1	11	of	-0.04579702019691467
2	70	this	-0.22266364097595215
3	63	film	-0.2553921937942505
4	145	as	-0.4893059730529785
5	10	fan	0.6913392543792725
6	5076	service	-0.37303829193115234
7	14	,	-0.7169287204742432
8	9	a	0.08211556077003479
9	5181	wet	1.1345134377479553
10	8355	dream	2.0062792748212814
11	222	for	-0.07259702682495117
12	31	the	0.22414591908454895
13	13546	slasher	0.27682268619537354
14	3413	genre	-0.6813355684280396
15	737	admirer	1.5716767311096191
16	18	.	0.09359204769134521
17	780	we	-0.1769115924835205
18	2229	start	-0.06639981269836426
19	272	off	0.4400215148925781
20	126	with	0.06996536254882812
21	9	a	0.6412097364664078
22	9077	gory	0.2050330638885498
23	6449	prologue	0.4036754369735718
24	209	which	0.1908102035522461
25	41	is	-0.8658464550971985
26	513	pretty	1.565624177455902
27	228	much	0.049336060881614685
28	2592	unrelated	0.30716466903686523
29	7	to	0.031978607177734375
30	31	the	0.2651726007461548
31	361	rest	0.08463680744171143
32	11	of	-0.1087999939918518
33	31	the	0.22002899646759033
34	63	film	-1.0586072206497192
35	18	.	0.04795265197753906
36	7257	flash	0.2868931293487549
37	1815	forward	0.3588443994522095
38	5963	nine	0.056211233139038086
39	4462	months	-4.736063182353973
40	33	and	-0.2504211664199829
41	31	the	0.10032820701599121
42	474	real	-0.2974253259599209
43	8377	meat	0.3305274248123169
44	11	of	0.025093555450439453
45	31	the	0.23025593534111977
46	1343	plot	1.0419658422470093
47	1749	begins	-0.5845910608768463
48	31	the	0.1103212833404541
49	17063	virginal	0.004286646842956543
50	1	<unk>	-0.29294705390930176
51	1967	lane	0.1775836944580078
52	41	is	-0.27587074041366577
53	1	<unk>	-0.27907514572143555
54	167	by	-0.21714156866073608
55	190	every	-0.2654690742492676
56	14142	jock	0.046523332595825195
57	33	and	-0.28730809688568115
58	11158	nerd	1.2237399220466614
59	82	in	-0.08823657035827637
60	708	her	-0.19440770149230957
61	3631	school	-0.5997756719589233
62	14	,	-0.07625043392181396
63	33	and	-0.758014440536499
64	350	gets	0.17502856254577637
65	20111	invited	-0.5918326377868652
66	7	to	0.28448450565338135
67	890	spend	0.511764407157898
68	9	a	-0.009339094161987305
69	3829	weekend	-0.21217751502990723
70	90	at	-0.3370734453201294
71	9	a	-0.016895651817321777
72	10487	ranch	-0.378554105758667
73	167	by	-0.13251817226409912
74	1430	three	0.3676750659942627
75	198	guys	0.36371541023254395
76	347	who	0.06243336200714111
77	1092	think	-0.8599210977554321
78	622	they	1.2547633349895477
79	40	can	0.08602941036224365
80	114	get	0.012723028659820557
81	7690	lucky	0.7195761799812317
82	14	,	-0.09266924858093262
83	33	and	-1.074255347251892
84	595	two	-0.563664436340332
85	12768	bimbos	0.014673948287963867
86	4814	obsessed	0.9732136726379395
87	126	with	0.04314470291137695
88	837	their	-0.30158257484436035
89	7781	weight	-0.6460941918194294
90	33	and	-0.2686777114868164
91	11529	boob	0.28132832050323486
92	18463	size	-0.05538487434387207
93	18	.	0.042379140853881836
94	26	so	-0.1055452823638916
95	18	.	0.14170390367507935
96	18	.	0.03706014156341553
97	310	you	-0.11761331558227539
98	19	have	0.2512221336364746
99	9	a	0.0661698579788208
100	3206	bunch	0.20440006256103516
101	11	of	0.030085325241088867
102	2255	young	-0.020230412483215332
103	1667	students	-3.1493799686431885
104	82	in	-0.11717593669891357
105	9	a	0.07895994186401367
106	369	house	0.34605133533477783
107	82	in	-0.12747955322265625
108	31	the	2.1497915387153625
109	448	middle	0.13385337591171265
110	11	of	-0.08220139145851135
111	1532	nowhere	0.42669010162353516
112	135	on	-3.5084328651428223
113	9	a	-0.012697339057922363
114	1691	dark	-0.17394351959228516
115	449	night	0.6294417381286621
116	14	,	-0.0981287956237793
117	347	who	0.18543434143066406
118	602	want	0.19993388652801514
119	7	to	0.04611527919769287
120	76	do	0.22869765758514404
121	207	nothing	0.814164400100708
122	57	but	0.23791813850402832
123	19	have	5.232542514801025
124	2980	sex	-0.1449437141418457
125	14	,	-0.18955743312835693
126	76	do	0.7820531129837036
127	2574	drugs	0.5473660491406918
