sample=236 explainer=permutation target=0 sample_size=128
detokenized_full_text: i tired on several attempts to sit down and watch this program gilmore girls . it baffled me for i just couldn ' t put my finger on what this was about . was this about a young woman having a baby young in life and never growing up ? was this about the daughter being more responsible than the mother ? was this about a rebellious rich girl and her <unk> daughter ? what the heck is this show about ? finally , i just didn ' t care . the cast makes me want to scream . the writing is neither smart or intelligent it ' s syrupy and tedious . so why did i watch ? because i heard so many good things about this
idx	token_id	token_str	shap_value
0	2	i	0.5402015447616577
1	1272	tired	-0.04126441478729248
2	135	on	-0.19755148887634277
3	1378	several	0.029967069625854492
4	2922	attempts	0.19997823238372803
5	7	to	0.0003151893615722656
6	3359	sit	0.3991212844848633
7	422	down	0.1922534704208374
8	33	and	-0.20779180526733398
9	540	watch	-0.03946399688720703
10	70	this	-0.20547473430633545
11	9014	program	-0.2567012310028076
12	24489	gilmore	-0.039746880531311035
13	5717	girls	0.2301185131072998
14	18	.	0.03670322895050049
15	47	it	-1.1414217203855515
16	24322	baffled	0.25772392749786377
17	331	me	-0.623981773853302
18	222	for	-0.07954764366149902
19	2	i	0.05519747734069824
20	122	just	0.2946787476539612
21	528	couldn	0.0727226734161377
22	4	'	0.8011764585971832
23	5	t	-0.11172235012054443
24	358	put	0.14583802223205566
25	83	my	-0.41788673400878906
26	990	finger	-1.5982883870601654
27	135	on	-0.14593183994293213
28	39	what	0.06504464149475098
29	70	this	-0.05363941192626953
30	88	was	-0.0731590986251831
31	80	about	0.09447288513183594
32	18	.	0.04666125774383545
33	88	was	-0.0430675745010376
34	70	this	-0.4051739424467087
35	80	about	0.019497394561767578
36	9	a	0.07208061218261719
37	2255	young	-0.018335819244384766
38	413	woman	0.9152699708938599
39	874	having	0.099831223487854
40	9	a	0.20338642597198486
41	367	baby	-0.15355145931243896
42	2255	young	-0.07671523094177246
43	82	in	-0.04489779472351074
44	749	life	-0.09301126003265381
45	33	and	-0.21765673160552979
46	396	never	-0.1136481761932373
47	1948	growing	-0.12436091899871826
48	195	up	0.8269684128463268
49	199	?	0.28786659240722656
50	88	was	0.43973255157470703
51	70	this	-0.02765178680419922
52	80	about	0.14604508876800537
53	31	the	0.049605607986450195
54	3705	daughter	0.020909428596496582
55	943	being	-0.05421805381774902
56	102	more	0.0006967782974243164
57	4540	responsible	-0.15638041496276855
58	107	than	-0.2054845690727234
59	31	the	0.0923151969909668
60	243	mother	-0.18191015720367432
61	199	?	3.8474847227334976
62	88	was	-0.21955138444900513
63	70	this	-0.3208456337451935
64	80	about	0.5591486692428589
65	9	a	-0.5187427699565887
66	8295	rebellious	-0.5645380616188049
67	6440	rich	1.8572708740830421
68	420	girl	0.14868664741516113
69	33	and	-0.21277737617492676
70	708	her	-0.06896686553955078
71	1	<unk>	-3.8437156677246094
72	3705	daughter	0.018118739128112793
73	199	?	0.2677950859069824
74	39	what	0.1341877579689026
75	31	the	0.3945413567125797
76	5960	heck	0.030689537525177002
77	41	is	-0.1373966932296753
78	70	this	-0.002183675765991211
79	253	show	-0.3573218584060669
80	80	about	0.0377960205078125
81	199	?	0.31797683238983154
82	36	finally	-0.2824413776397705
83	14	,	-0.08658170700073242
84	2	i	0.05430912971496582
85	122	just	0.1646585464477539
86	770	didn	0.0002452731132507324
87	4	'	0.18832474946975708
88	5	t	-0.48828691244125366
89	77	care	-0.2608799934387207
90	18	.	0.035610079765319824
91	31	the	0.07243561744689941
92	181	cast	-0.3958320617675781
93	445	makes	-0.12499910593032837
94	331	me	-0.32072913646698
95	602	want	-0.0007687807083129883
96	7	to	0.015438556671142578
97	1162	scream	-1.202777810394764
98	18	.	0.10295629501342773
99	31	the	0.9551491290330887
100	581	writing	0.2208465337753296
101	41	is	-0.0942833423614502
102	2600	neither	-0.23612642288208008
103	580	smart	-0.37490880489349365
104	131	or	1.2138099670410156
105	467	intelligent	-0.21611809730529785
106	47	it	-0.08618128299713135
107	4	'	0.12067645788192749
108	152	s	-0.20677971839904785
109	19981	syrupy	0.10071218013763428
110	33	and	-0.4676176905632019
111	10975	tedious	0.03826647996902466
112	18	.	0.026862621307373047
113	26	so	-0.041596174240112305
114	1124	why	-0.19695746898651123
115	154	did	-0.003938794136047363
116	2	i	0.08426004648208618
117	540	watch	-0.040873169898986816
118	199	?	0.6606435477733612
119	15	because	-0.14432132244110107
120	2	i	0.45898324251174927
121	2137	heard	-0.0726008415222168
122	26	so	-0.022227883338928223
123	1615	many	0.7743418663740158
124	204	good	-0.0888679027557373
125	174	things	0.16930818557739258
126	80	about	0.06382036209106445
127	70	this	-0.04228365421295166
