sample=140 explainer=permutation target=0 sample_size=128
detokenized_full_text: <unk> spoilers ! <unk> a woman gets pregnant , but not by her husband . she develops ' something ' inside her , or at least thats what her husband thinks . they go through a lot of hard times , while she is on the brink of a nervous breakdown . the husband contacts an ufo professor , and with his help they try to find out what is wrong with her . <unk> spoilers ! <unk> the story could have been a bit better , or at least be made less predictable , but the movie is catchy and it got me and my sister hooked through the entire movie without a problem . the acting is very good , and the filming is much better
idx	token_id	token_str	shap_value
0	1	<unk>	-0.6774235963821411
1	688	spoilers	-0.0379866361618042
2	574	!	-0.1673567295074463
3	1	<unk>	-0.5720477998256683
4	9	a	-0.062172532081604004
5	413	woman	0.4016244411468506
6	350	gets	1.6001352965831757
7	10675	pregnant	2.1947789192199707
8	14	,	-0.136735200881958
9	57	but	0.6787686944007874
10	17	not	0.2591506689786911
11	167	by	-0.20585346221923828
12	708	her	-0.17287594079971313
13	441	husband	0.4953300207853317
14	18	.	-0.05211365222930908
15	450	she	0.020380616188049316
16	5732	develops	-0.6239659786224365
17	4	'	0.2999812960624695
18	669	something	2.7446128129959106
19	4	'	0.23771750926971436
20	1449	inside	-1.779360294342041
21	708	her	-0.15192264318466187
22	14	,	-0.16584201157093048
23	131	or	0.06650179624557495
24	90	at	-0.2660585641860962
25	464	least	-0.2453387975692749
26	917	thats	-0.21096163988113403
27	39	what	0.18091079592704773
28	708	her	-1.5311175733804703
29	441	husband	0.391811728477478
30	1775	thinks	0.6206112056970596
31	18	.	0.136630117893219
32	622	they	0.7773261964321136
33	796	go	1.3188806176185608
34	783	through	0.26515209674835205
35	9	a	0.2792501449584961
36	46	lot	-0.8127127289772034
37	11	of	-0.02609574794769287
38	644	hard	-0.026212096214294434
39	335	times	-0.3504815399646759
40	14	,	-2.2511054277420044
41	1353	while	0.619213342666626
42	450	she	-0.050895631313323975
43	41	is	-0.2968466877937317
44	135	on	-0.14211106300354004
45	31	the	2.1159600615501404
46	11895	brink	-0.1671389639377594
47	11	of	-0.6823112964630127
48	9	a	0.07235199213027954
49	1710	nervous	1.504533290863037
50	1711	breakdown	-0.19590449333190918
51	18	.	0.26629531383514404
52	31	the	0.031326353549957275
53	441	husband	0.5146423280239105
54	8241	contacts	0.3848400115966797
55	268	an	0.36199140548706055
56	10710	ufo	-0.7497442960739136
57	4057	professor	-0.550148606300354
58	14	,	-0.1549382209777832
59	33	and	-0.4062533378601074
60	126	with	0.20063632726669312
61	23	his	0.6061853170394897
62	661	help	-1.148963987827301
63	622	they	1.2015533074736595
64	589	try	-0.5812719464302063
65	7	to	-0.052482008934020996
66	257	find	-0.27704811096191406
67	258	out	0.45349884033203125
68	39	what	0.20198136568069458
69	41	is	-0.23956739902496338
70	1468	wrong	0.5821148157119751
71	126	with	0.1546177864074707
72	708	her	-0.1287771463394165
73	18	.	0.0393223762512207
74	1	<unk>	-0.7214928865432739
75	688	spoilers	-0.5055067539215088
76	574	!	0.0521184504032135
77	1	<unk>	-1.7405163049697876
78	31	the	-0.11349380016326904
79	202	story	-0.4991750717163086
80	631	could	0.2975524663925171
81	19	have	0.5314698815345764
82	248	been	-0.0080183744430542
83	9	a	0.2756846249103546
84	382	bit	-0.7017811387777328
85	529	better	0.2864529490470886
86	14	,	-0.3657894991338253
87	131	or	0.16090136766433716
88	90	at	-0.3390672244131565
89	464	least	-0.2343233823776245
90	8	be	0.7737871408462524
91	100	made	-0.021667778491973877
92	609	less	0.6894558072090149
93	3224	predictable	0.1441357135772705
94	14	,	-0.3270213007926941
95	57	but	2.2999026775360107
96	31	the	0.060044050216674805
97	71	movie	0.13570570945739746
98	41	is	-1.4559351056814194
99	10068	catchy	0.1696382761001587
100	33	and	-0.45298825204372406
101	47	it	-0.11150947213172913
102	623	got	0.2753281593322754
103	331	me	-1.1390730440616608
104	33	and	-0.38352125883102417
105	83	my	-0.3286130428314209
106	928	sister	1.0217338800430298
107	2272	hooked	-1.6954920291900635
108	783	through	0.23804235458374023
109	31	the	0.057608067989349365
110	634	entire	1.8167119324207306
111	71	movie	0.16676747798919678
112	468	without	-0.9141001328825951
113	9	a	0.04799354076385498
114	330	problem	0.43551790714263916
115	18	.	0.18594849109649658
116	31	the	0.0313720703125
117	579	acting	-0.42714452743530273
118	41	is	-0.2946568727493286
119	67	very	-0.426663339138031
120	204	good	-0.15467119216918945
121	14	,	-0.24928808212280273
122	33	and	-0.40272921323776245
123	31	the	0.017046689987182617
124	584	filming	0.6879963874816895
125	41	is	-0.6291694641113281
126	228	much	0.06919395923614502
127	529	better	0.8866477310657501
