sample=249 explainer=permutation target=0 sample_size=128
detokenized_full_text: this is one of my favourite films , dating back to my childhood . set in the remote wilderness of <unk> at the turn of the century , a small community is stirred when an extremely cold winter forces two tigers to come down from the mountains in search of food , preying on <unk> <unk> . in this atmosphere we are introduced to <unk> , a hermit fur <unk> , who lives out in the <unk> , as he comes to the village to sell his <unk> catch to boris , his close , and rather only , friend in the village , who runs a store . at boris ' request , <unk> accompanies his friend ' s arrogant son , ivan , on the hunt
idx	token_id	token_str	shap_value
0	70	this	-1.1372680962085724
1	41	is	-2.4523492455482483
2	233	one	0.015555139631032944
3	11	of	-0.015721715986728668
4	83	my	-1.1802545338869095
5	6096	favourite	-1.3346477001905441
6	25	films	0.4241998456418514
7	14	,	-0.19365568459033966
8	4898	dating	-0.04592451453208923
9	371	back	0.5410348176956177
10	7	to	0.032161325216293335
11	83	my	-0.9622990489006042
12	3700	childhood	0.09092037379741669
13	18	.	0.24995121359825134
14	538	set	-0.06807136535644531
15	82	in	-0.36145642399787903
16	31	the	0.06228899955749512
17	6980	remote	0.18966245651245117
18	19226	wilderness	1.4922377616167068
19	11	of	-0.0337848961353302
20	1	<unk>	-2.025106757879257
21	90	at	-0.6886253654956818
22	31	the	0.08517993986606598
23	880	turn	0.11760245636105537
24	11	of	0.005100548267364502
25	31	the	0.43902064859867096
26	1682	century	-0.16499003767967224
27	14	,	-0.16074085235595703
28	9	a	0.14991944283246994
29	2601	small	0.24872716143727303
30	662	community	-2.392384946346283
31	41	is	-0.9230250418186188
32	12231	stirred	-0.9324775487184525
33	700	when	-0.1432170867919922
34	268	an	0.3621786832809448
35	2313	extremely	0.7610409259796143
36	2745	cold	0.56150196865201
37	3506	winter	-0.436090350151062
38	1792	forces	-1.1833232939243317
39	595	two	-0.7179474234580994
40	14477	tigers	-0.3338271975517273
41	7	to	0.024931609630584717
42	1302	come	0.42345432937145233
43	422	down	0.7419459223747253
44	376	from	-0.32183870673179626
45	31	the	0.07005202770233154
46	6081	mountains	-1.0571069680154324
47	82	in	-0.17017722129821777
48	2304	search	2.9140252768993378
49	11	of	-0.002691805362701416
50	4713	food	-0.36039920151233673
51	14	,	-0.14769065380096436
52	14536	preying	0.11928153038024902
53	135	on	-0.2659783959388733
54	1	<unk>	-0.8920360207557678
55	1	<unk>	-0.6759194508194923
56	18	.	0.17556047439575195
57	82	in	-0.08015862107276917
58	70	this	-0.4519878625869751
59	1060	atmosphere	-0.26573437452316284
60	780	we	-0.18467310443520546
61	226	are	-0.4075957089662552
62	2668	introduced	-0.33241188526153564
63	7	to	0.049463510513305664
64	1	<unk>	-1.2571081668138504
65	14	,	-0.19163988158106804
66	9	a	0.15940195322036743
67	14067	hermit	-0.36510470509529114
68	5305	fur	-0.7786802798509598
69	1	<unk>	-0.5985576808452606
70	14	,	-0.19059276953339577
71	347	who	0.04064828157424927
72	3789	lives	0.11131554841995239
73	258	out	0.566087618470192
74	82	in	-0.10545989871025085
75	31	the	-1.6340966820716858
76	1	<unk>	-0.9501550644636154
77	14	,	-0.4001079499721527
78	145	as	-0.602755606174469
79	370	he	-0.23748061060905457
80	386	comes	-1.1332786679267883
81	7	to	0.023067474365234375
82	31	the	0.20661407709121704
83	3595	village	0.5154590755701065
84	7	to	0.0936848521232605
85	8639	sell	0.41652291640639305
86	23	his	0.44012075662612915
87	1	<unk>	-0.5511895418167114
88	2996	catch	-0.7844345793128014
89	7	to	0.02707253396511078
90	10122	boris	1.9791205078363419
91	14	,	-0.24981319904327393
92	23	his	0.3808279037475586
93	1225	close	1.0902040004730225
94	14	,	-0.17582398653030396
95	33	and	-0.464127853512764
96	608	rather	1.0013434886932373
97	20	only	0.5956137180328369
98	14	,	-0.33009177446365356
99	871	friend	-0.9231938421726227
100	82	in	-0.16466808319091797
101	31	the	0.7849196195602417
102	3595	village	0.10567373037338257
103	14	,	-0.13793623447418213
104	347	who	0.5287715047597885
105	1805	runs	0.6149068474769592
106	9	a	0.16755610704421997
107	1850	store	0.5467882752418518
108	18	.	0.2740067392587662
109	90	at	-0.21496403217315674
110	10122	boris	10.232184961438179
111	4	'	0.9692489206790924
112	17738	request	0.6964938044548035
113	14	,	-0.17848098278045654
114	1	<unk>	-0.6365336962044239
115	13947	accompanies	7.1695680022239685
116	23	his	0.6681006699800491
117	871	friend	-0.16948780417442322
118	4	'	0.47605594992637634
119	152	s	-4.775973916053772
120	9289	arrogant	-0.03957724571228027
121	2149	son	-0.10620927438139915
122	14	,	-0.10387074947357178
123	3135	ivan	-0.2113693356513977
124	14	,	-0.16743701696395874
125	135	on	-0.176162451505661
126	31	the	0.055893734097480774
127	13523	hunt	0.8296236395835876
