sample=154 explainer=permutation target=0 sample_size=128
detokenized_full_text: in the 1930s , hal roach studios was on top of the comedy world with such stars as laurel and hardy , charley chase and the little <unk> . most of these films are exceptional and have withstood the passing of time . however , a lesser-known roach product was the pairing of thelma todd and <unk> pitts ( later , todd was paired with the equally untalented <unk> kelly ) . try as i might , i just can ' t stand these <unk> just aren ' t funny . plus , unlike laurel and hardy , there was not an ounce of chemistry between todd and her two co-stars . before you just think i am a <unk> , understand that i have seen and reviewed
idx	token_id	token_str	shap_value
0	82	in	-0.03529620170593262
1	31	the	0.14761340618133545
2	15013	1930s	0.6416678428649902
3	14	,	-0.16212189197540283
4	2138	hal	0.45661506056785583
5	5497	roach	-0.9982537925243378
6	4426	studios	-0.585473895072937
7	88	was	0.11121761798858643
8	135	on	-0.2462608814239502
9	177	top	0.21571791172027588
10	11	of	0.08284199237823486
11	31	the	0.014747023582458496
12	1525	comedy	0.13444948196411133
13	289	world	-0.20060789585113525
14	126	with	0.46891045570373535
15	559	such	2.8573590517044067
16	827	stars	0.6218669414520264
17	145	as	-0.25672024488449097
18	5408	laurel	1.2866600826382637
19	33	and	-0.6293347477912903
20	5409	hardy	0.34361669421195984
21	14	,	-0.04982566833496094
22	12445	charley	-0.8766613602638245
23	4758	chase	-0.01158839464187622
24	33	and	-0.2326366901397705
25	31	the	0.024227499961853027
26	115	little	-0.7154694646596909
27	1	<unk>	-0.20152616500854492
28	18	.	-0.09805839136242867
29	44	most	0.08223044872283936
30	11	of	-0.22582006454467773
31	821	these	0.08879494667053223
32	25	films	0.19170427322387695
33	226	are	-0.02243506908416748
34	8229	exceptional	0.23789823055267334
35	33	and	-1.476109653711319
36	19	have	0.1523277759552002
37	5528	withstood	-0.10906064510345459
38	31	the	0.0785527229309082
39	364	passing	0.15682268142700195
40	11	of	-0.04196584224700928
41	552	time	-0.12330400943756104
42	18	.	-1.3444239497184753
43	156	however	0.07274472713470459
44	14	,	-0.019522428512573242
45	9	a	0.6223548054695129
46	20808	lesser-known	-0.3865612745285034
47	5497	roach	-0.20968914031982422
48	648	product	-0.6043654084205627
49	88	was	0.08892989158630371
50	31	the	0.019845247268676758
51	17303	pairing	0.16368578374385834
52	11	of	-0.033428311347961426
53	15960	thelma	-0.8613465875387192
54	6181	todd	-1.2562223076820374
55	33	and	-0.5690950267016888
56	1	<unk>	-0.14107096195220947
57	19224	pitts	0.07174241542816162
58	236	(	-0.03670608997344971
59	565	later	-0.05174243450164795
60	14	,	-0.6277409270405769
61	6181	todd	-0.2499023675918579
62	88	was	0.09097707271575928
63	24052	paired	-0.45451346039772034
64	126	with	0.13542044162750244
65	31	the	0.08451628684997559
66	6865	equally	1.5758350193500519
67	6638	untalented	-0.00632476806640625
68	1	<unk>	-1.7016954571008682
69	15144	kelly	-0.2301640510559082
70	254	)	0.7152116298675537
71	18	.	0.3243703544139862
72	589	try	-0.16073524951934814
73	145	as	-0.13501131534576416
74	2	i	0.13644248247146606
75	2228	might	0.4601559638977051
76	14	,	-0.2609308958053589
77	2	i	0.11685574054718018
78	122	just	0.3678409457206726
79	40	can	0.08981847763061523
80	4	'	0.10905683040618896
81	5	t	-0.04921388626098633
82	3547	stand	-1.1091632843017578
83	821	these	0.11486582830548286
84	1	<unk>	-3.052087366580963
85	122	just	0.294930100440979
86	5308	aren	0.6707668602466583
87	4	'	0.351245641708374
88	5	t	-2.589870870113373
89	343	funny	0.8068948984146118
90	18	.	-0.010754227638244629
91	4764	plus	0.15444254875183105
92	14	,	-0.059347331523895264
93	2058	unlike	-0.04145920276641846
94	5408	laurel	0.12875807285308838
95	33	and	-0.5962222814559937
96	5409	hardy	0.06638002395629883
97	14	,	-0.03132593631744385
98	158	there	2.2771570086479187
99	88	was	0.15651345252990723
100	17	not	0.45564091205596924
101	268	an	2.486224949359894
102	12412	ounce	-0.3969736099243164
103	11	of	-0.027074098587036133
104	4729	chemistry	-0.2494184970855713
105	790	between	-0.2548863887786865
106	6181	todd	-0.3431429862976074
107	33	and	-0.5496180839836597
108	708	her	0.05370223522186279
109	595	two	-0.44382449984550476
110	7638	co-stars	0.07554423809051514
111	18	.	0.01125943660736084
112	604	before	0.09422528743743896
113	310	you	-0.03745603561401367
114	122	just	0.3867878317832947
115	1092	think	-0.510637640953064
116	2	i	0.07222485542297363
117	16	am	0.12141728401184082
118	9	a	0.11288082599639893
119	1	<unk>	-1.2991538047790527
120	14	,	-0.05612349510192871
121	1553	understand	0.0032459497451782227
122	42	that	-0.07309520244598389
123	2	i	0.06611621379852295
124	19	have	1.7794352769851685
125	1065	seen	0.5806109309196472
126	33	and	-0.22379708290100098
127	11544	reviewed	0.3216191530227661
