sample=230 explainer=permutation target=0 sample_size=128
detokenized_full_text: this movie just didn ' t do it for me . i like horror and splatter movies but this one has very little to do with horror . the effects are cheap and when they chop of one of her feet it looks so fake . the same goes for the other effects like the tongue torture and the gut sex . they could have spent of few extra bucks on the effects . with lots of sex ( with <unk> as in all japanese movies ) this is just a sick fetish porn and there seems to be a market for sick stuff like this . while <unk> , for me it fits in with titles like <unk> / <unk> and the <unk> series . these movies
idx	token_id	token_str	shap_value
0	70	this	-0.23950012028217316
1	71	movie	-0.016247153282165527
2	122	just	0.5312414467334747
3	770	didn	-0.0457342267036438
4	4	'	1.190454538911581
5	5	t	-0.7182652801275253
6	76	do	0.38846665620803833
7	47	it	-0.22375758737325668
8	222	for	-0.20944350957870483
9	331	me	-0.5339840948581696
10	18	.	0.07487261295318604
11	2	i	0.12576639652252197
12	103	like	-0.5666773617267609
13	1888	horror	-0.04642891883850098
14	33	and	-0.9649142138659954
15	12047	splatter	0.22314000129699707
16	149	movies	-0.33332543820142746
17	57	but	0.39539772272109985
18	70	this	-0.08781814575195312
19	233	one	0.02627730369567871
20	416	has	-3.3646504282951355
21	67	very	-0.17481154203414917
22	115	little	-0.4629584550857544
23	7	to	-0.6345564648509026
24	76	do	2.6824327148497105
25	126	with	0.4014901742339134
26	1888	horror	-0.03478914499282837
27	18	.	0.10264235734939575
28	31	the	0.16613227128982544
29	1803	effects	0.799741804599762
30	226	are	-0.5517239570617676
31	1726	cheap	0.5135132670402527
32	33	and	-0.4812084585428238
33	700	when	-0.10114598274230957
34	622	they	1.0444040596485138
35	12154	chop	-1.5049505196511745
36	11	of	0.007440090179443359
37	233	one	0.561924397945404
38	11	of	-0.043691396713256836
39	708	her	-0.8250510990619659
40	1529	feet	-0.09479370713233948
41	47	it	-0.07874223589897156
42	433	looks	1.9614553079009056
43	26	so	-0.06180310249328613
44	4575	fake	0.31763768196105957
45	18	.	0.37726783752441406
46	31	the	0.36464327573776245
47	686	same	1.144963577389717
48	950	goes	-0.3770763874053955
49	222	for	-3.136472687125206
50	31	the	0.14829802513122559
51	476	other	-1.1490943618118763
52	1803	effects	1.4614509418606758
53	103	like	-0.5525897741317749
54	31	the	2.3849009722471237
55	22073	tongue	-0.5675513744354248
56	8931	torture	1.527571078389883
57	33	and	-0.43559983372688293
58	31	the	0.5118600241839886
59	1036	gut	-1.341145098209381
60	2980	sex	-0.21063804626464844
61	18	.	0.09337309002876282
62	622	they	0.5568100214004517
63	631	could	0.3648013472557068
64	19	have	0.6668264865875244
65	2567	spent	0.9796296954154968
66	11	of	0.13106340169906616
67	497	few	0.05421459674835205
68	4145	extra	0.581561416387558
69	10056	bucks	0.5778409838676453
70	135	on	-0.2619001716375351
71	31	the	1.4827895313501358
72	1803	effects	0.6414577066898346
73	18	.	0.3017214387655258
74	126	with	-0.005816847085952759
75	1506	lots	0.9025122076272964
76	11	of	-0.28256620094180107
77	2980	sex	-0.24326297640800476
78	236	(	-0.14369666576385498
79	126	with	0.24865978956222534
80	1	<unk>	-0.5943070650100708
81	145	as	-0.4230377972126007
82	82	in	-0.0931321382522583
83	544	all	0.10626459121704102
84	4108	japanese	0.2290329933166504
85	149	movies	-0.3031185269355774
86	254	)	0.6129525005817413
87	70	this	-0.49016716703772545
88	41	is	-0.10863345861434937
89	122	just	1.6227858252823353
90	9	a	0.1516488790512085
91	2893	sick	-0.31506818532943726
92	17615	fetish	-0.1122317910194397
93	6822	porn	0.09228366613388062
94	33	and	-0.8739026337862015
95	158	there	0.4071773588657379
96	210	seems	-0.14627796411514282
97	7	to	0.182657390832901
98	8	be	2.371723961085081
99	9	a	0.7917309105396271
100	3910	market	-0.6212701424956322
101	222	for	-0.18667875230312347
102	2893	sick	-0.2903020679950714
103	514	stuff	-0.8406739383935928
104	103	like	-0.688706785440445
105	70	this	-0.7309555932879448
106	18	.	0.09412050247192383
107	1353	while	0.451801061630249
108	1	<unk>	-0.39292073249816895
109	14	,	-0.3543553911149502
110	222	for	-0.32590191066265106
111	331	me	-0.5882679522037506
112	47	it	-0.12775331735610962
113	1873	fits	-0.784123282879591
114	82	in	-0.11453977227210999
115	126	with	0.38488686084747314
116	777	titles	0.20601403713226318
117	103	like	-0.46501587331295013
118	1	<unk>	-2.867151614278555
119	7094	/	0.7722987532615662
120	1	<unk>	-0.3772633671760559
121	33	and	-0.4428001046180725
122	31	the	0.3621579706668854
123	1	<unk>	-0.37824082374572754
124	2197	series	-0.9651139378547668
125	18	.	0.2618627995252609
126	821	these	0.15599751472473145
127	149	movies	-0.20049887895584106
