sample=59 explainer=permutation target=0 sample_size=128
detokenized_full_text: i was <unk> , visiting an old friend . after dinner , talking , he expressed some reservations about his daughter ' s boy friend . she ' s 15 , beautiful , smart , <unk> , and the young man is also from an excellent family , nice , also <unk> ( if not as smart ) . i told him he might just be feeling the normal <unk> concerns however , a few minutes later the young man arrived , with his dvd of this flick , which he had apparently been anxious for some time to share with the others . these folks have a <unk> <unk> home theater set-up , with a screen something in excess of 4 feet , and the two young
idx	token_id	token_str	shap_value
0	2	i	0.0636216402053833
1	88	was	0.12288892269134521
2	1	<unk>	-6.45158326625824
3	14	,	-0.39411795139312744
4	1963	visiting	-0.05908215045928955
5	268	an	0.14321768283843994
6	423	old	-0.8415069580078125
7	871	friend	0.031123697757720947
8	18	.	0.14803779125213623
9	487	after	0.028374552726745605
10	9484	dinner	-0.09818768501281738
11	14	,	-0.06628811359405518
12	1750	talking	-0.012995004653930664
13	14	,	-0.056736111640930176
14	370	he	-0.23446440696716309
15	10357	expressed	2.214831590652466
16	120	some	-0.011094212532043457
17	11479	reservations	-0.2524681091308594
18	80	about	0.08681273460388184
19	23	his	0.1856067180633545
20	3705	daughter	0.053403615951538086
21	4	'	0.4840688705444336
22	152	s	-0.2279341220855713
23	2483	boy	-0.05809032917022705
24	871	friend	-0.8185395002365112
25	18	.	0.060926079750061035
26	450	she	0.06840711832046509
27	4	'	0.29703032970428467
28	152	s	-0.28772759437561035
29	3471	15	7.935580193996429
30	14	,	-0.0606999397277832
31	58	beautiful	-1.2177728414535522
32	14	,	-0.07579684257507324
33	580	smart	-0.9328736066818237
34	14	,	-0.05197906494140625
35	1	<unk>	-1.3545219898223877
36	14	,	-0.39159727096557617
37	33	and	-0.30431482195854187
38	31	the	-0.023924946784973145
39	2255	young	-0.16454756259918213
40	1022	man	0.0037997961044311523
41	41	is	-0.061171650886535645
42	582	also	-0.18823063373565674
43	376	from	0.03280305862426758
44	268	an	0.1543334722518921
45	1296	excellent	-0.2539949417114258
46	319	family	0.06020951271057129
47	14	,	-0.2954035997390747
48	2026	nice	0.20718824863433838
49	14	,	-0.32123589515686035
50	582	also	-0.2027498483657837
51	1	<unk>	-0.702121913433075
52	236	(	-0.09936583042144775
53	637	if	0.20274698734283447
54	17	not	0.15493321418762207
55	145	as	-0.0897824764251709
56	580	smart	-0.458096981048584
57	254	)	0.331828236579895
58	18	.	0.1769428551197052
59	2	i	0.08241856098175049
60	1334	told	0.2544400691986084
61	363	him	-4.607103586196899
62	370	he	-0.29209721088409424
63	2228	might	0.6713050007820129
64	122	just	0.24837231636047363
65	8	be	0.6539914011955261
66	798	feeling	-0.5366812944412231
67	31	the	2.111797273159027
68	1862	normal	0.057114601135253906
69	1	<unk>	-0.26643550395965576
70	1860	concerns	0.03724932670593262
71	156	however	0.00798952579498291
72	14	,	-0.21738475561141968
73	9	a	0.2690850496292114
74	497	few	0.06939220428466797
75	1902	minutes	0.1662813425064087
76	565	later	-0.035121917724609375
77	31	the	0.26604998111724854
78	2255	young	0.004040718078613281
79	1022	man	0.026725053787231445
80	7063	arrived	-0.14323210716247559
81	14	,	-0.047316789627075195
82	126	with	0.12538790702819824
83	23	his	0.49619239568710327
84	493	dvd	-0.16177427768707275
85	11	of	-0.157906174659729
86	70	this	0.5576441287994385
87	2233	flick	-0.23180389404296875
88	14	,	-0.14875388145446777
89	209	which	0.17508268356323242
90	370	he	-0.18324029445648193
91	407	had	-0.11822998523712158
92	1094	apparently	1.1612592935562134
93	248	been	0.17454493045806885
94	12274	anxious	-0.5119277834892273
95	222	for	0.04824113845825195
96	120	some	0.4273160696029663
97	552	time	-0.15315520763397217
98	7	to	-0.09261488914489746
99	5393	share	-0.6279935836791992
100	126	with	0.1677255630493164
101	31	the	-2.111361861228943
102	3460	others	-0.12824106216430664
103	18	.	0.04570972919464111
104	821	these	0.14435863494873047
105	3833	folks	0.43908071517944336
106	19	have	0.1705864667892456
107	9	a	0.17548441886901855
108	1	<unk>	-0.49795448780059814
109	1	<unk>	-0.840653121471405
110	667	home	0.025407910346984863
111	3186	theater	-0.6028733253479004
112	13212	set-up	-0.11644363403320312
113	14	,	-0.0527721643447876
114	126	with	0.15260660648345947
115	9	a	0.13647663593292236
116	3252	screen	-0.08911526203155518
117	669	something	0.8420028686523438
118	82	in	0.2826063632965088
119	7264	excess	1.3467437028884888
120	11	of	0.01871800422668457
121	2341	4	1.2557451725006104
122	1529	feet	0.14743494987487793
123	14	,	-0.05254483222961426
124	33	and	-0.1026148796081543
125	31	the	-0.031386613845825195
126	595	two	-0.11540865898132324
127	2255	young	0.1627674102783203
