sample=110 explainer=permutation target=0 sample_size=128
detokenized_full_text: i had the privilege recently of viewing what is said to be the last 35mm , technicolor , stereo print and found it much <unk> and more touching than remembered . also closer to the original material -- basically , all screenwriter n . richard nash did was trim , change much <unk> to spoken dialog , and insert a <unk> scene or two ( including a very amusing one for pearl bailey ) . oliver smith ' s production design is <unk> in the li ' l <unk> and dolls ' 50s adaptation mode , but it works well for this work ' s folkloric , unrealistic quality . stereotyping and racism are present , but not to a <unk> degree . further , for a movie
idx	token_id	token_str	shap_value
0	2	i	0.14895205944776535
1	407	had	-0.19452953338623047
2	31	the	0.07873094081878662
3	9401	privilege	-0.018876194953918457
4	2525	recently	-0.1463468074798584
5	11	of	-0.01785457134246826
6	171	viewing	0.05257701873779297
7	39	what	0.12610340118408203
8	41	is	-0.05816924571990967
9	819	said	-0.033621907234191895
10	7	to	-0.03933762013912201
11	8	be	0.32413554191589355
12	31	the	0.033513426780700684
13	767	last	0.1852494478225708
14	23037	35mm	0.14763641357421875
15	14	,	-0.35796988010406494
16	10618	technicolor	0.1923140287399292
17	14	,	-0.1730533242225647
18	20126	stereo	-0.7473282516002655
19	11064	print	0.11680710315704346
20	33	and	-0.27327269315719604
21	43	found	-0.4729800298810005
22	47	it	0.00742340087890625
23	228	much	0.018885374069213867
24	1	<unk>	-0.44556254148483276
25	33	and	-5.081192314624786
26	102	more	-0.29548966884613037
27	7362	touching	0.2692312151193619
28	107	than	0.1550368070602417
29	691	remembered	-0.6105481386184692
30	18	.	0.1505126953125
31	582	also	-0.4597057104110718
32	2896	closer	0.20607316493988037
33	7	to	0.03840196132659912
34	31	the	0.024501800537109375
35	208	original	0.27380073070526123
36	4845	material	-0.4778231382369995
37	1889	--	-0.08140373229980469
38	4525	basically	0.27690887451171875
39	14	,	-0.08137989044189453
40	544	all	0.08444929122924805
41	5537	screenwriter	1.9842197895050049
42	6256	n	0.9818799495697021
43	18	.	0.21397900581359863
44	1427	richard	0.3578444719314575
45	15393	nash	-0.12265515327453613
46	154	did	0.0354841947555542
47	88	was	0.15600168704986572
48	25916	trim	-0.7867796272039413
49	14	,	-0.07857894897460938
50	2152	change	-0.05636107921600342
51	228	much	-0.19878387451171875
52	1	<unk>	-0.4872552752494812
53	7	to	0.03049027919769287
54	6242	spoken	-0.35571879148483276
55	465	dialog	0.718649759888649
56	14	,	-0.04697060585021973
57	33	and	-0.2544904947280884
58	6169	insert	-0.3264474868774414
59	9	a	0.11323821544647217
60	1	<unk>	-0.5382519960403442
61	588	scene	-0.20201146602630615
62	131	or	0.20632970333099365
63	595	two	-0.5218732357025146
64	236	(	-0.09031431376934052
65	987	including	-3.4555196166038513
66	9	a	0.07953155040740967
67	67	very	-0.5914367437362671
68	3305	amusing	0.1728978157043457
69	233	one	0.08388912677764893
70	222	for	0.01853311061859131
71	8417	pearl	0.8915812969207764
72	5444	bailey	-0.4276529550552368
73	254	)	0.30683380365371704
74	18	.	0.04239332675933838
75	5480	oliver	0.08250832557678223
76	2758	smith	-0.185821533203125
77	4	'	0.022078275680541992
78	152	s	-0.6102510094642639
79	692	production	-0.3093985319137573
80	4886	design	0.46104001998901367
81	41	is	-3.447872579097748
82	1	<unk>	-0.46217119693756104
83	82	in	-0.029396772384643555
84	31	the	0.030795812606811523
85	2130	li	0.09437704086303711
86	4	'	0.48528826236724854
87	2131	l	-0.09348368644714355
88	1	<unk>	-0.19454705715179443
89	33	and	-0.3039369583129883
90	18044	dolls	0.5933386087417603
91	4	'	0.12327325344085693
92	11191	50s	0.38046789169311523
93	2032	adaptation	-0.18758976459503174
94	1859	mode	-0.008171439170837402
95	14	,	-0.07075333595275879
96	57	but	3.0475698709487915
97	47	it	-0.03436422348022461
98	1321	works	-0.17946064472198486
99	141	well	-0.20360159873962402
100	222	for	0.0034101009368896484
101	70	this	-0.02893650531768799
102	979	work	-0.09987211227416992
103	4	'	0.054445505142211914
104	152	s	-0.4187901020050049
105	23828	folkloric	3.4531073309481144
106	14	,	-1.4742732979357243
107	2674	unrealistic	0.02859354019165039
108	2198	quality	-0.07145190238952637
109	18	.	1.5567948818206787
110	28122	stereotyping	-0.009706616401672363
111	33	and	-0.09982478618621826
112	4491	racism	-0.03880786895751953
113	226	are	-0.1751919984817505
114	2300	present	-0.024508357048034668
115	14	,	-0.2697412073612213
116	57	but	0.25442516803741455
117	17	not	4.310886323451996
118	7	to	0.1717318296432495
119	9	a	0.09793126583099365
120	1	<unk>	-0.6357609033584595
121	8627	degree	0.5236855745315552
122	18	.	0.33951640129089355
123	2513	further	-0.8028502464294434
124	14	,	-0.2749706506729126
125	222	for	0.020618557929992676
126	9	a	0.1625453233718872
127	71	movie	0.12082302570343018
