sample=124 explainer=permutation target=0 sample_size=128
detokenized_full_text: i checked this out for free at the library , and i still feel ripped off . yes , sandra bullock is actually in it , but only in five scenes totaling up to barely 5 minutes , and even those are fairly painful to watch . the rest of the movie is so bad that you ' ll spend most of the time hoping it will end soon , but only if you ' re one of those people who have to finish a movie once they start it . everyone else will just turn it off . don ' t worry , you aren ' t going to miss anything . bullock ' s lines ( assuming that you were tricked into watching this because her
idx	token_id	token_str	shap_value
0	2	i	0.11238670349121094
1	16345	checked	2.219787508249283
2	70	this	-0.3026670217514038
3	258	out	0.5136960446834564
4	222	for	-0.23341530561447144
5	768	free	-0.23223304748535156
6	90	at	-0.524177074432373
7	31	the	0.25824475288391113
8	11481	library	0.021931707859039307
9	14	,	-0.10525918006896973
10	33	and	-0.45236873626708984
11	2	i	0.2079792022705078
12	685	still	-0.6162445396184921
13	101	feel	0.27541959285736084
14	5786	ripped	0.9413591623306274
15	272	off	0.44459784030914307
16	18	.	0.1087639331817627
17	200	yes	0.11417797207832336
18	14	,	-0.1470346450805664
19	10035	sandra	0.4655226469039917
20	11971	bullock	-0.6019567549228668
21	41	is	-0.1326746940612793
22	1887	actually	-0.5493817329406738
23	82	in	-0.1695406436920166
24	47	it	-0.11416912078857422
25	14	,	-0.3544100672006607
26	57	but	0.45731449127197266
27	20	only	0.9043188951909542
28	82	in	-0.15473175048828125
29	3500	five	0.6650183498859406
30	121	scenes	1.4400259256362915
31	10194	totaling	0.6781857013702393
32	195	up	0.356484055519104
33	7	to	0.08867013454437256
34	5929	barely	-0.08273109793663025
35	22	5	-0.42059844732284546
36	1902	minutes	0.04770302772521973
37	14	,	-0.40251731872558594
38	33	and	-0.49339938163757324
39	970	even	1.0512769222259521
40	977	those	-1.1457360982894897
41	226	are	-0.48022815585136414
42	3018	fairly	-0.06274080276489258
43	3569	painful	1.6940534710884094
44	7	to	0.032076358795166016
45	540	watch	0.02815532684326172
46	18	.	0.15984708070755005
47	31	the	0.3464769124984741
48	361	rest	0.1262667179107666
49	11	of	-0.018280625343322754
50	31	the	0.08206844329833984
51	71	movie	-0.03217005729675293
52	41	is	-0.5179600715637207
53	26	so	-0.05690419673919678
54	197	bad	0.4747636318206787
55	42	that	-0.27311694622039795
56	310	you	-0.2159576117992401
57	4	'	0.5274948477745056
58	1230	ll	0.11953401565551758
59	890	spend	0.7762380838394165
60	44	most	0.04294806718826294
61	11	of	-0.27527278661727905
62	31	the	0.19308912754058838
63	552	time	-0.5799131393432617
64	4707	hoping	0.12850582599639893
65	47	it	-0.0826149582862854
66	599	will	-0.335146427154541
67	119	end	-0.19487488269805908
68	1732	soon	-0.6082233190536499
69	14	,	-0.3076289892196655
70	57	but	0.2514692544937134
71	20	only	0.552137479186058
72	637	if	-0.005384653806686401
73	310	you	-0.36556434631347656
74	4	'	0.45453327894210815
75	741	re	-0.19431090354919434
76	233	one	-0.006831049919128418
77	11	of	-0.20550525188446045
78	977	those	-0.9135828018188477
79	78	people	3.8306933641433716
80	347	who	0.08880940079689026
81	19	have	0.5774670243263245
82	7	to	0.024657249450683594
83	2258	finish	0.17768585681915283
84	9	a	0.2846221327781677
85	71	movie	0.028319716453552246
86	2891	once	-0.6294160485267639
87	622	they	0.9205050468444824
88	2229	start	-0.01920342445373535
89	47	it	-0.2890019416809082
90	18	.	0.012366294860839844
91	677	everyone	-0.47029387950897217
92	1647	else	-0.19948844611644745
93	599	will	-0.5495221316814423
94	122	just	0.935103714466095
95	880	turn	0.03595435619354248
96	47	it	-0.2874372601509094
97	272	off	0.47338008880615234
98	18	.	0.10453963279724121
99	1165	don	-0.05334603786468506
100	4	'	0.3120724558830261
101	5	t	-2.083873689174652
102	12161	worry	-0.8763464689254761
103	14	,	-0.2919555902481079
104	310	you	-0.19713926315307617
105	5308	aren	0.3240612894296646
106	4	'	0.25167959928512573
107	5	t	-2.09763041138649
108	421	going	1.244823008775711
109	7	to	0.010306000709533691
110	1104	miss	1.1699955463409424
111	1832	anything	0.5007176399230957
112	18	.	0.08360552787780762
113	11971	bullock	-0.7922021448612213
114	4	'	0.27737957239151
115	152	s	-0.6934268474578857
116	54	lines	2.5395270735025406
117	236	(	-2.917153298854828
118	20168	assuming	0.7399114072322845
119	42	that	-0.3079932928085327
120	310	you	-0.44763239845633507
121	94	were	-0.48958924412727356
122	16381	tricked	0.15883398056030273
123	368	into	-0.5806366801261902
124	333	watching	0.7727072536945343
125	70	this	-0.3156852722167969
126	15	because	-1.539429485797882
127	708	her	-0.15124225616455078
