sample=97 explainer=permutation target=0 sample_size=128
detokenized_full_text: the world now seems to be in an odd stage of <unk> , in which objects such as dvd and cd players are steadily <unk> in size . it is obviously much cooler to have a smaller <unk> than a larger one . this is not so with theater screens , as is the case with the imax , the enormous , <unk> theater system that has stunned audiences upon its release , and to this day . as long as the material ' s right . the main problem with ' magnificent <unk> walking on the moon 3d is that it uses the huge screen as its main advantage . it is dull , <unk> , and relentlessly eager to please and amaze us with its corny
idx	token_id	token_str	shap_value
0	31	the	0.005552887916564941
1	289	world	-0.26343226432800293
2	373	now	-0.2801170349121094
3	210	seems	0.004340410232543945
4	7	to	0.5916029214859009
5	8	be	0.29446887969970703
6	82	in	0.056909918785095215
7	268	an	0.2262270450592041
8	1540	odd	0.12667453289031982
9	3726	stage	0.1749345064163208
10	11	of	-0.01236426830291748
11	1	<unk>	-0.131646990776062
12	14	,	0.07713186740875244
13	82	in	0.007702350616455078
14	209	which	0.452869176864624
15	7308	objects	-0.5910496711730957
16	559	such	0.2534322738647461
17	145	as	-0.1602461338043213
18	493	dvd	-0.08621859550476074
19	33	and	-0.14761948585510254
20	7075	cd	0.03812217712402344
21	1868	players	-0.09876298904418945
22	226	are	0.044228434562683105
23	14945	steadily	-0.011616349220275879
24	1	<unk>	-0.19768619537353516
25	82	in	0.010991215705871582
26	18463	size	0.0006946325302124023
27	18	.	0.05121719837188721
28	47	it	0.07332533597946167
29	41	is	-0.0008488893508911133
30	2498	obviously	0.1733851432800293
31	228	much	-0.07685470581054688
32	26890	cooler	5.869419813156128
33	7	to	0.016083717346191406
34	19	have	0.2417391538619995
35	9	a	0.09189474582672119
36	8529	smaller	-0.08680903911590576
37	1	<unk>	-0.22038185596466064
38	107	than	0.16127169132232666
39	9	a	0.11175084114074707
40	1646	larger	0.14661073684692383
41	233	one	0.29131412506103516
42	18	.	0.06995236873626709
43	70	this	0.007699370384216309
44	41	is	-0.0322645902633667
45	17	not	0.2255038022994995
46	26	so	0.148712158203125
47	126	with	0.12729358673095703
48	3186	theater	-0.19633686542510986
49	9987	screens	-0.21141338348388672
50	14	,	-3.5046066641807556
51	145	as	-0.15742266178131104
52	41	is	-0.9274426698684692
53	31	the	-0.035161733627319336
54	196	case	0.8778154850006104
55	126	with	0.05171608924865723
56	31	the	0.01773548126220703
57	17374	imax	-0.055411577224731445
58	14	,	-0.2865976095199585
59	31	the	-0.01622796058654785
60	681	enormous	-3.9424915313720703
61	14	,	-0.12852007150650024
62	1	<unk>	-0.2795688509941101
63	3186	theater	-0.196782648563385
64	641	system	0.13529539108276367
65	42	that	-0.014915704727172852
66	416	has	-0.042261362075805664
67	13148	stunned	0.6641830801963806
68	1616	audiences	0.3348304033279419
69	1558	upon	0.05905807018280029
70	282	its	-0.17037880420684814
71	1228	release	0.13828611373901367
72	14	,	-0.018408775329589844
73	33	and	-0.14257466793060303
74	7	to	2.733507215976715
75	70	this	-0.09831881523132324
76	3138	day	-0.007367849349975586
77	18	.	0.07691192626953125
78	145	as	-0.15194326639175415
79	766	long	0.21190881729125977
80	145	as	-0.13521134853363037
81	31	the	0.010526537895202637
82	4845	material	-0.09823930263519287
83	4	'	0.04080462455749512
84	152	s	-0.156325101852417
85	716	right	-0.3321235179901123
86	18	.	0.03963613510131836
87	31	the	-0.013071537017822266
88	1119	main	-0.008264660835266113
89	330	problem	0.554869532585144
90	126	with	0.12935185432434082
91	4	'	0.03132891654968262
92	9071	magnificent	-0.3069659471511841
93	1	<unk>	-6.423449635505676
94	2596	walking	-0.10437619686126709
95	135	on	-0.012677490711212158
96	31	the	0.04298067092895508
97	1692	moon	-0.44054853916168213
98	18296	3d	0.06529664993286133
99	41	is	-0.056168198585510254
100	42	that	-0.027822375297546387
101	47	it	0.04809975624084473
102	1762	uses	1.0449198484420776
103	31	the	0.08331716060638428
104	1337	huge	0.20303094387054443
105	3252	screen	-0.03514134883880615
106	145	as	-0.31493985652923584
107	282	its	-0.3130137324333191
108	1119	main	-0.038794755935668945
109	3916	advantage	0.07276880741119385
110	18	.	0.08746647834777832
111	47	it	0.08643269538879395
112	41	is	-0.10632586479187012
113	1925	dull	-0.010817885398864746
114	14	,	-0.07234692573547363
115	1	<unk>	-0.28059256076812744
116	14	,	-0.07300317287445068
117	33	and	-1.2225077748298645
118	11391	relentlessly	-0.18411195278167725
119	18093	eager	0.6687262654304504
120	7	to	0.07695859670639038
121	590	please	0.130834698677063
122	33	and	-0.18338942527770996
123	5049	amaze	0.08052372932434082
124	611	us	0.12603485584259033
125	126	with	1.1995739340782166
126	282	its	-0.14061307907104492
127	4527	corny	-0.084311842918396
