sample=109 explainer=permutation target=0 sample_size=128
detokenized_full_text: in the only act of <unk> they have ever made , the <unk> film & television office refused to fund this film . the producers kicked up a big stink & in a <unk> of publicity took their production to victoria . apart from the lost work for <unk> , <unk> were lucky not to have been involved . . . the film fails on just about every level . the post <unk> fails , the casting fails ( what is rose byrne ' s character all about ? which 1 dimensional snarling nasty did hugo weaving channel ? what the hell is pia miranda ' s character doing ? ) and the story is a clichéd mess of contradictions . in fact , the story runs like
idx	token_id	token_str	shap_value
0	82	in	-0.07460649684071541
1	31	the	0.06978529691696167
2	20	only	0.46792399883270264
3	1016	act	-0.9881015419960022
4	11	of	-0.017244786024093628
5	1	<unk>	-0.7125596329569817
6	622	they	1.025097593665123
7	19	have	1.1671675145626068
8	1394	ever	0.027552157640457153
9	100	made	0.14296308159828186
10	14	,	-0.989764615893364
11	31	the	3.174566149711609
12	1	<unk>	-0.7259975075721741
13	63	film	-0.2864557206630707
14	851	&	-0.1174345538020134
15	4420	television	-0.27594104409217834
16	6028	office	-8.852543473243713
17	4293	refused	-0.3328982889652252
18	7	to	0.12998342514038086
19	10133	fund	-0.6093615591526031
20	70	this	-0.21645361185073853
21	63	film	-0.4719826877117157
22	18	.	0.12144875526428223
23	31	the	1.5994693636894226
24	2231	producers	-2.3539498448371887
25	4234	kicked	-0.7894344069063663
26	195	up	1.0613308250904083
27	9	a	0.045374125242233276
28	104	big	-0.2198973000049591
29	24152	stink	0.7398272752761841
30	851	&	-0.04451018571853638
31	82	in	0.01529151201248169
32	9	a	0.14807284250855446
33	1	<unk>	-1.5080929398536682
34	11	of	-0.016338825225830078
35	4343	publicity	-0.474115788936615
36	3019	took	-1.2301130294799805
37	837	their	-0.8994771242141724
38	692	production	-0.2167152762413025
39	7	to	0.09188944101333618
40	15867	victoria	-1.397660732269287
41	18	.	0.1709517389535904
42	3416	apart	-0.6738659739494324
43	376	from	-0.3833809494972229
44	31	the	0.33576029539108276
45	1052	lost	0.44534832239151
46	979	work	-0.3428078293800354
47	222	for	-0.11512935161590576
48	1	<unk>	-0.9593333303928375
49	14	,	-0.30412131547927856
50	1	<unk>	-0.7208312749862671
51	94	were	-0.258614718914032
52	7690	lucky	0.4515320360660553
53	17	not	0.6306195259094238
54	7	to	-0.015516459941864014
55	19	have	0.5685900412499905
56	248	been	0.5807125568389893
57	6147	involved	0.24654421210289001
58	18	.	0.1793099343776703
59	18	.	0.46258699893951416
60	18	.	0.1520211398601532
61	31	the	0.06112143397331238
62	63	film	-0.48761308193206787
63	2489	fails	1.1911467760801315
64	135	on	-0.10463941097259521
65	122	just	0.4620605707168579
66	80	about	0.2602611184120178
67	190	every	-0.30378077924251556
68	110	level	0.24681860208511353
69	18	.	0.2430618405342102
70	31	the	0.1074148416519165
71	6542	post	0.2420346736907959
72	1	<unk>	-0.6046389155089855
73	2489	fails	0.8494061529636383
74	14	,	-0.28443530201911926
75	31	the	0.12086254358291626
76	527	casting	0.2872813679277897
77	2489	fails	1.3631635904312134
78	236	(	-0.07667535543441772
79	39	what	0.4040732979774475
80	41	is	-0.3478511571884155
81	7688	rose	0.3390140235424042
82	8107	byrne	-0.03128081560134888
83	4	'	0.289233960211277
84	152	s	-0.818190723657608
85	98	character	0.2834506668150425
86	544	all	0.283300194889307
87	80	about	0.22091472148895264
88	199	?	1.020839661359787
89	209	which	0.2904919981956482
90	2270	1	2.245833933353424
91	234	dimensional	1.1833003759384155
92	19029	snarling	-1.0856200456619263
93	808	nasty	4.20623904466629
94	154	did	0.027245759963989258
95	14794	hugo	-3.8135892152786255
96	6965	weaving	2.6122139543294907
97	1139	channel	-0.2672045826911926
98	199	?	3.831250250339508
99	39	what	0.17123490571975708
100	31	the	0.04759401082992554
101	5126	hell	-0.02012181282043457
102	41	is	-0.2956395447254181
103	18009	pia	0.17628704756498337
104	18286	miranda	-0.8355117440223694
105	4	'	0.23360686004161835
106	152	s	-0.8808134198188782
107	98	character	0.4853804409503937
108	842	doing	0.6911260895431042
109	199	?	1.0290265083312988
110	254	)	0.19889439642429352
111	33	and	-0.4915737956762314
112	31	the	0.020294129848480225
113	202	story	-0.47603100538253784
114	41	is	-0.44960305094718933
115	9	a	1.0295096039772034
116	8467	clichéd	0.3281920552253723
117	1843	mess	1.2698267698287964
118	11	of	0.25958049297332764
119	22901	contradictions	-0.5092085599899292
120	18	.	0.14710423350334167
121	82	in	-0.0481569766998291
122	255	fact	-0.37857629731297493
123	14	,	-0.2272782325744629
124	31	the	0.24003690481185913
125	202	story	-1.3764100968837738
126	1805	runs	0.3237793445587158
127	103	like	-0.26375913619995117
