sample=42 explainer=permutation target=0 sample_size=128
detokenized_full_text: probably grossly underrated by all who never experienced the hell of living under communist regime . although , it seems hard to believe , all of it happened , actually the reality was even worse than the movie . it resembles orwellian fiction , only this is no fiction . john hurt is excellent as always . yes , the screenplay is not full of action , but life is not either . plot is breathtaking . yes , people were shot , yes thousands of them . their ' crime ' was that they wanted to leave communist ' paradise ' without government <unk> . at times the movie drives tears in your eyes . we need more movies like this to really appreciate what america provides
idx	token_id	token_str	shap_value
0	1047	probably	-3.0366369485855103
1	6419	grossly	0.1089177131652832
2	10399	underrated	-0.4862526059150696
3	167	by	-0.06323021650314331
4	544	all	0.12633419036865234
5	347	who	0.020442605018615723
6	396	never	-0.7609252221882343
7	10903	experienced	-0.24163752794265747
8	31	the	0.11068886518478394
9	5126	hell	0.07413846254348755
10	11	of	-0.02003955841064453
11	3586	living	0.13687407970428467
12	1236	under	-0.3505392372608185
13	6447	communist	-0.1931617558002472
14	18573	regime	-0.01083672046661377
15	18	.	0.0360260009765625
16	393	although	0.2437678724527359
17	14	,	-0.14990517497062683
18	47	it	0.010039091110229492
19	210	seems	-0.03717917203903198
20	644	hard	0.037955641746520996
21	7	to	-0.019244283437728882
22	443	believe	0.41962292790412903
23	14	,	-0.05661720037460327
24	544	all	0.2594882547855377
25	11	of	-0.04466116428375244
26	47	it	-0.05504399538040161
27	2805	happened	0.03995859622955322
28	14	,	-0.06933099031448364
29	1887	actually	-0.7082020938396454
30	31	the	-0.004585742950439453
31	625	reality	-0.19481158256530762
32	88	was	0.11584044992923737
33	970	even	0.5134579539299011
34	1180	worse	0.7261034846305847
35	107	than	0.18672174215316772
36	31	the	0.19041895866394043
37	71	movie	0.0936729907989502
38	18	.	0.061009109020233154
39	47	it	-0.07200396060943604
40	2448	resembles	-4.465724408626556
41	16000	orwellian	0.12132173776626587
42	1174	fiction	-0.1316213756799698
43	14	,	-0.035094380378723145
44	20	only	1.0194084197282791
45	70	this	-0.06977951526641846
46	41	is	-0.08525103330612183
47	127	no	0.10595810413360596
48	1174	fiction	-0.1307128667831421
49	18	.	0.056008338928222656
50	889	john	-0.19360631704330444
51	1190	hurt	3.4796305894851685
52	41	is	-0.046321988105773926
53	1296	excellent	-0.4863658547401428
54	145	as	-0.23077189922332764
55	1606	always	-0.48660239577293396
56	18	.	0.0718156099319458
57	200	yes	-0.020654141902923584
58	14	,	-0.058510422706604004
59	31	the	0.014763593673706055
60	2847	screenplay	0.23108333349227905
61	41	is	-0.280620813369751
62	17	not	0.16112583875656128
63	245	full	0.1528957486152649
64	11	of	-0.05219191312789917
65	137	action	-0.17591726779937744
66	14	,	-0.05653393268585205
67	57	but	0.34533774852752686
68	749	life	-0.1683124303817749
69	41	is	-0.10392242670059204
70	17	not	0.15245342254638672
71	2459	either	0.9420843534171581
72	18	.	0.5363609790802002
73	1343	plot	0.695407897233963
74	41	is	-0.11886227130889893
75	5765	breathtaking	-1.0447607934474945
76	18	.	0.2590649127960205
77	200	yes	-0.19047677516937256
78	14	,	-0.3077538125216961
79	78	people	0.3864551782608032
80	94	were	-0.1984120011329651
81	394	shot	0.7866373062133789
82	14	,	-0.1095811128616333
83	200	yes	-0.04293009638786316
84	665	thousands	-0.28229910135269165
85	11	of	-0.056351423263549805
86	230	them	-0.11923271417617798
87	18	.	0.4621330499649048
88	837	their	-4.151432931423187
89	4	'	0.2588054835796356
90	999	crime	1.4149856269359589
91	4	'	0.14340674877166748
92	88	was	0.09347474575042725
93	42	that	-0.3480841964483261
94	622	they	0.5890035629272461
95	862	wanted	-0.1319170594215393
96	7	to	0.13831347227096558
97	938	leave	-0.4423016309738159
98	6447	communist	-0.23649054765701294
99	4	'	0.5622096508741379
100	20624	paradise	-0.006368398666381836
101	4	'	0.3461463153362274
102	468	without	-0.4051445722579956
103	1205	government	0.11988586187362671
104	1	<unk>	-0.3381868600845337
105	18	.	-0.031402587890625
106	90	at	0.7233082056045532
107	335	times	-0.27191781997680664
108	31	the	0.7600167244672775
109	71	movie	0.42395226657390594
110	4626	drives	-0.9423376768827438
111	4456	tears	0.1798102706670761
112	82	in	-0.026600241661071777
113	303	your	0.4578700065612793
114	2380	eyes	-0.13976168632507324
115	18	.	0.4073496460914612
116	780	we	0.1595907211303711
117	1298	need	-0.6341234445571899
118	102	more	0.02769291400909424
119	149	movies	1.051757574081421
120	103	like	-0.9908235967159271
121	70	this	-0.46012840792536736
122	7	to	0.054776787757873535
123	124	really	0.2958998680114746
124	1048	appreciate	0.8559701442718506
125	39	what	0.07723069190979004
126	908	america	0.03021937608718872
127	6054	provides	0.5080941021442413
