sample=67 explainer=permutation target=0 sample_size=128
detokenized_full_text: first off , i am a huge fan of tolkien , and as one i will base most of my critic on his books . the movie is a standard adventure movie , well made with nifty special effects , nice sound track and fine acting . now if this movie was called something else than lord of the rings the reviews wouldn ' t be half this good as they are here . the problem of the movie is that it takes the basic story line from <unk> books but then it goes and hollywoods everything it can , numerous scenes from the book are <unk> missing or changed quite a lot , the characters are changed from the book also , a thing that i think
idx	token_id	token_str	shap_value
0	73	first	-0.2127649001777172
1	272	off	0.6085596084594727
2	14	,	-0.1272001564502716
3	2	i	0.23750710487365723
4	16	am	0.2905765436589718
5	9	a	0.07189404964447021
6	1337	huge	0.2740338444709778
7	10	fan	0.16019779443740845
8	11	of	-0.11124265193939209
9	23096	tolkien	0.2167358100414276
10	14	,	-0.11654943227767944
11	33	and	-0.4816734343767166
12	145	as	-0.22868561744689941
13	233	one	-0.019106149673461914
14	2	i	0.16017311811447144
15	599	will	-3.20753176137805
16	5099	base	0.008709311485290527
17	44	most	0.08641159534454346
18	11	of	-0.0978165864944458
19	83	my	-0.3202248215675354
20	2556	critic	0.09764647483825684
21	135	on	-0.14991843700408936
22	23	his	0.2506542205810547
23	2061	books	0.07123327255249023
24	18	.	0.21952858567237854
25	31	the	0.020503610372543335
26	71	movie	0.4620981365442276
27	41	is	-0.046869367361068726
28	9	a	0.042821407318115234
29	203	standard	-0.007402151823043823
30	280	adventure	-0.07995891571044922
31	71	movie	0.38662970066070557
32	14	,	-0.18205571174621582
33	141	well	-0.612346887588501
34	100	made	0.24731919914484024
35	126	with	0.24737432599067688
36	2734	nifty	0.26139163970947266
37	1365	special	7.236753582954407
38	1803	effects	0.8088998794555664
39	14	,	-0.08310830593109131
40	2026	nice	0.2845895290374756
41	3853	sound	0.3463716506958008
42	7443	track	-0.3637569546699524
43	33	and	-0.33511775732040405
44	1078	fine	-0.08339202404022217
45	579	acting	0.06182163953781128
46	18	.	0.07672059535980225
47	373	now	-1.430476725101471
48	637	if	-0.0053442418575286865
49	70	this	-0.29002803564071655
50	71	movie	0.0800822377204895
51	88	was	0.451015830039978
52	3401	called	0.21464800834655762
53	669	something	0.10745871067047119
54	1647	else	0.10786253213882446
55	107	than	1.8683770447969437
56	34	lord	0.0809173583984375
57	11	of	-0.09402865171432495
58	31	the	0.0797877311706543
59	35	rings	-4.514551490545273
60	31	the	0.22484374046325684
61	3069	reviews	-0.07725739479064941
62	4274	wouldn	0.8273850679397583
63	4	'	0.10556149482727051
64	5	t	-0.43728673458099365
65	8	be	0.45575591921806335
66	499	half	0.5482815206050873
67	70	this	-0.0684003233909607
68	204	good	0.019441425800323486
69	145	as	-0.23456263542175293
70	622	they	1.0488029718399048
71	226	are	-0.07905328273773193
72	87	here	-0.21204769611358643
73	18	.	0.0694047212600708
74	31	the	0.0857241153717041
75	330	problem	1.0192131251096725
76	11	of	-0.09064322710037231
77	31	the	0.08341708034276962
78	71	movie	0.16300153732299805
79	41	is	-0.5275441966950893
80	42	that	-3.8047608584165573
81	47	it	-0.1703299880027771
82	650	takes	0.37420299649238586
83	31	the	0.18577921390533447
84	1931	basic	-1.130968403071165
85	202	story	-0.44057610630989075
86	191	line	0.5647785663604736
87	376	from	-0.07288050651550293
88	1	<unk>	-0.2989352345466614
89	2061	books	0.13699114322662354
90	57	but	0.537245124578476
91	356	then	0.13944512605667114
92	47	it	-0.13870681822299957
93	950	goes	-0.6323660612106323
94	33	and	-0.34799861907958984
95	7079	hollywoods	-0.13888442516326904
96	624	everything	-0.31070852279663086
97	47	it	0.007338106632232666
98	40	can	0.2411465048789978
99	14	,	-0.12135863304138184
100	3813	numerous	-1.0106863528490067
101	121	scenes	1.290492057800293
102	376	from	-0.022864103317260742
103	31	the	0.11278343200683594
104	2029	book	-0.1592959463596344
105	226	are	-0.7071151249110699
106	1	<unk>	-0.6221711933612823
107	2305	missing	0.304449662566185
108	131	or	0.29605796933174133
109	7009	changed	0.021550476551055908
110	1101	quite	0.6166736930608749
111	9	a	0.07622957229614258
112	46	lot	-1.0549746751785278
113	14	,	-0.11600673198699951
114	31	the	0.07893317937850952
115	93	characters	0.4660189747810364
116	226	are	-0.26269060373306274
117	7009	changed	0.1450555920600891
118	376	from	-0.04341328144073486
119	31	the	0.24918654561042786
120	2029	book	-0.11307072639465332
121	582	also	-1.063705250620842
122	14	,	-0.16113758087158203
123	9	a	0.1118878722190857
124	717	thing	1.3340501636266708
125	42	that	-0.18737101554870605
126	2	i	0.10024172067642212
127	1092	think	-0.2601504325866699
