sample=174 explainer=permutation target=0 sample_size=128
detokenized_full_text: a texas community is beset with a rash of mysterious killings involving some of the students from the local college . the sheriff investigating the death discovers the startling identity of the killer responsible for the murders . a nasa experiment involving cosmic rays has mutated an ape and turned it into an unstoppable killing machine with a thirst for blood , according to the dvd sleeve ' s synopsis . or , could the creature really be a mutated <unk> returning from a <unk> noah ' s ark ? a long opening , with laughably straight 1960s couple ralph baker jr . ( as chris ) and dorothy davis ( as judy ) , suggests night fright might be a <unk> bad movie but , don '
idx	token_id	token_str	shap_value
0	9	a	0.02454833686351776
1	9487	texas	0.1478818655014038
2	662	community	-0.08845632895827293
3	41	is	0.16239655017852783
4	5224	beset	-0.5100752115249634
5	126	with	0.05577707290649414
6	9	a	0.006534218788146973
7	24480	rash	1.2785494327545166
8	11	of	-0.030324816703796387
9	2393	mysterious	0.7667539119720459
10	5362	killings	0.140399768948555
11	4377	involving	-0.057479023933410645
12	120	some	-0.09880909323692322
13	11	of	-0.03835248947143555
14	31	the	0.22241104766726494
15	1667	students	0.4659005403518677
16	376	from	-0.06070816516876221
17	31	the	0.1475774049758911
18	684	local	0.23010313510894775
19	6331	college	1.480468638241291
20	18	.	0.08449375629425049
21	31	the	0.088035948574543
22	4692	sheriff	-0.228611022233963
23	6715	investigating	-0.5883585214614868
24	31	the	0.0916299819946289
25	992	death	0.49787044525146484
26	7107	discovers	-0.320231556892395
27	31	the	0.19939398765563965
28	13178	startling	-0.2718846797943115
29	6913	identity	-0.6469854861497879
30	11	of	-0.038262009620666504
31	31	the	1.2559301853179932
32	2265	killer	0.20459794998168945
33	4540	responsible	-0.1980583667755127
34	222	for	0.02452099323272705
35	31	the	0.23512502387166023
36	7656	murders	-1.3609484285116196
37	18	.	0.20106464624404907
38	9	a	-0.2642558813095093
39	1372	nasa	0.4168548583984375
40	3037	experiment	0.6989973336458206
41	4377	involving	-0.13131821155548096
42	6327	cosmic	0.243291974067688
43	26349	rays	-0.09345278143882751
44	416	has	-0.45735764503479004
45	10716	mutated	5.767160952091217
46	268	an	0.429665744304657
47	10085	ape	-0.5789996385574341
48	33	and	-0.25745028257369995
49	944	turned	0.14051270484924316
50	47	it	0.009329527616500854
51	368	into	-0.3371601104736328
52	268	an	0.22080910205841064
53	13567	unstoppable	-0.3266103267669678
54	242	killing	-0.15568262338638306
55	4984	machine	-0.19135653972625732
56	126	with	0.04633784294128418
57	9	a	-0.007118582725524902
58	5773	thirst	0.1551220417022705
59	222	for	-0.051733702421188354
60	159	blood	0.3245362937450409
61	14	,	-1.836308240890503
62	3143	according	0.6972519755363464
63	7	to	0.029433488845825195
64	31	the	0.0378413200378418
65	493	dvd	-0.43381163477897644
66	15347	sleeve	-0.2002139464020729
67	4	'	0.1986188143491745
68	152	s	-0.2347038984298706
69	4736	synopsis	0.9071502685546875
70	18	.	0.0948326587677002
71	131	or	0.0957583487033844
72	14	,	-0.2415914535522461
73	631	could	1.3181620985269547
74	31	the	0.10240000486373901
75	3040	creature	0.237873375415802
76	124	really	0.2243693768978119
77	8	be	0.01659160852432251
78	9	a	-0.027461528778076172
79	10716	mutated	0.30624842643737793
80	1	<unk>	-0.4845399409532547
81	5958	returning	0.6060384511947632
82	376	from	-0.3882368803024292
83	9	a	0.7758164405822754
84	1	<unk>	-1.3771781623363495
85	19194	noah	0.07091867923736572
86	4	'	0.6937036514282227
87	152	s	-4.2679309248924255
88	8807	ark	-1.4488258361816406
89	199	?	2.385838508605957
90	9	a	-0.0035294294357299805
91	766	long	-0.052730992436409
92	2424	opening	-0.1203957051038742
93	14	,	-0.0766068696975708
94	126	with	0.06563341617584229
95	6468	laughably	0.34154972434043884
96	3202	straight	0.15726345032453537
97	7261	1960s	0.11559885740280151
98	1739	couple	1.1651102304458618
99	12	ralph	-1.2870683073997498
100	3936	baker	-0.1687832623720169
101	4735	jr	0.3159983158111572
102	18	.	0.16824297606945038
103	236	(	-0.124492347240448
104	145	as	-0.7081191539764404
105	3565	chris	0.3640248775482178
106	254	)	0.13112768530845642
107	33	and	-0.49987292289733887
108	10738	dorothy	-0.4687090441584587
109	7664	davis	-0.22256222367286682
110	236	(	-0.106418177485466
111	145	as	-2.532455697655678
112	23472	judy	-0.22186267375946045
113	254	)	0.15971772372722626
114	14	,	-0.11728024482727051
115	1207	suggests	-0.025089740753173828
116	449	night	1.2119734287261963
117	17401	fright	-0.6454521864652634
118	2228	might	0.3457324355840683
119	8	be	0.1719202697277069
120	9	a	-2.589167594909668
121	1	<unk>	-0.33117544651031494
122	197	bad	0.7553694657981396
123	71	movie	0.5102649256587029
124	57	but	0.42882606387138367
125	14	,	-0.17059725522994995
126	1165	don	0.08897599577903748
127	4	'	0.18099260330200195
