sample=89 explainer=permutation target=0 sample_size=128
detokenized_full_text: this should be re-named everybody loves sebastian . the 1983 rural <unk> town high school junior ( or senior ? - they seemed to flip flop on that one ) with weird hair and <unk> good looks has a big plate full of issues . his <unk> announces definite plans to have a sex-change operation , upon which his mom calls the marriage quits sebastian is called the f word by everyone and their mother , <unk> kissing around with various girls , getting high on <unk> at a supermarket , and saving a <unk> prostitute from the <unk> of her ruthless <unk> . sebastian ' s buddies make eddie <unk> look like a choir boy bad association doesn ' t get much worse . sebastian seems to
idx	token_id	token_str	shap_value
0	70	this	-0.5487455129623413
1	247	should	0.17497998476028442
2	8	be	0.24118494987487793
3	2526	re-named	0.702735185623169
4	2590	everybody	-0.28254061937332153
5	2296	loves	-0.03508591651916504
6	22844	sebastian	0.7589060068130493
7	18	.	0.09254443645477295
8	31	the	0.13989821076393127
9	13421	1983	0.1325453370809555
10	14107	rural	-0.8371509909629822
11	1	<unk>	-0.31069082021713257
12	3355	town	-0.5084105022251606
13	304	high	0.051710158586502075
14	3631	school	-0.537786453962326
15	4151	junior	-0.15050506591796875
16	236	(	-0.10039472579956055
17	131	or	0.12957456707954407
18	11598	senior	-3.094536304473877
19	199	?	10.91554468870163
20	379	-	0.007178068161010742
21	622	they	0.5336336493492126
22	3311	seemed	0.009313464164733887
23	7	to	0.023165643215179443
24	4289	flip	0.1266942322254181
25	922	flop	0.441547904163599
26	135	on	-0.0735771656036377
27	42	that	-0.15701091289520264
28	233	one	0.09431678056716919
29	254	)	0.24724674224853516
30	126	with	0.18877428770065308
31	1444	weird	-0.6254025995731354
32	3845	hair	-0.22010722383856773
33	33	and	-0.16612917184829712
34	1	<unk>	-0.32502347230911255
35	204	good	0.09363150596618652
36	433	looks	0.7205649018287659
37	416	has	-0.15214526653289795
38	9	a	0.0755612850189209
39	104	big	-0.11148445308208466
40	11746	plate	0.6465277671813965
41	245	full	0.1061314046382904
42	11	of	-0.00752788782119751
43	1070	issues	-0.0005712509155273438
44	18	.	0.10371381044387817
45	23	his	0.32253482937812805
46	1	<unk>	-0.2906361520290375
47	5461	announces	0.42231255769729614
48	4407	definite	-0.18937796354293823
49	6491	plans	0.003244161605834961
50	7	to	-0.22473502159118652
51	19	have	0.229608416557312
52	9	a	0.06556433439254761
53	8008	sex-change	-0.7977392673492432
54	6420	operation	-0.8522213697433472
55	14	,	-0.5217075347900391
56	1558	upon	-0.150407612323761
57	209	which	0.3899914026260376
58	23	his	0.3530542626976967
59	1748	mom	-0.010764360427856445
60	2710	calls	-0.011955678462982178
61	31	the	0.06781834363937378
62	724	marriage	-4.018026351928711
63	15629	quits	-0.35371315479278564
64	22844	sebastian	0.31272661685943604
65	41	is	-0.7790425717830658
66	3401	called	0.25564801692962646
67	31	the	-0.11371898651123047
68	1244	f	0.2813166379928589
69	1426	word	0.11441105604171753
70	167	by	-0.12108051776885986
71	677	everyone	-0.3681480884552002
72	33	and	-0.3332568407058716
73	837	their	-0.21075493097305298
74	243	mother	-0.05545052886009216
75	14	,	-0.051813364028930664
76	1	<unk>	-0.47479546070098877
77	14863	kissing	-0.1095418632030487
78	1521	around	7.078372299671173
79	126	with	-1.478064775466919
80	2117	various	-0.11686646938323975
81	5717	girls	0.06999808549880981
82	14	,	-0.05398714542388916
83	338	getting	-0.2992613911628723
84	304	high	0.0855259895324707
85	135	on	-0.06661999225616455
86	1	<unk>	-0.42294010519981384
87	90	at	-0.207569420337677
88	9	a	0.05546683073043823
89	9634	supermarket	0.012371182441711426
90	14	,	-0.045319944620132446
91	33	and	-0.2399967908859253
92	4615	saving	0.0935545563697815
93	9	a	0.10280084609985352
94	1	<unk>	-1.4121763408184052
95	10231	prostitute	0.1854231357574463
96	376	from	-0.02660471200942993
97	31	the	0.07572251558303833
98	1	<unk>	-1.0111544132232666
99	11	of	-0.05166161060333252
100	708	her	-0.07477158308029175
101	4184	ruthless	0.45490967854857445
102	1	<unk>	-0.3777698501944542
103	18	.	0.0909455418586731
104	22844	sebastian	0.2079634666442871
105	4	'	0.048906028270721436
106	152	s	-0.40003708004951477
107	9137	buddies	-0.2053612470626831
108	935	make	0.2923414707183838
109	5831	eddie	-0.49984633922576904
110	1	<unk>	-0.3720785528421402
111	123	look	-5.3409833908081055
112	103	like	-0.2050086259841919
113	9	a	0.13350123167037964
114	28265	choir	-0.1273508369922638
115	2483	boy	-0.12700146436691284
116	197	bad	0.5144527554512024
117	22876	association	0.21766585111618042
118	442	doesn	0.19332373142242432
119	4	'	0.07863569259643555
120	5	t	-0.8372322916984558
121	114	get	0.09527397155761719
122	228	much	-0.046161770820617676
123	1180	worse	1.3951099514961243
124	18	.	0.034879982471466064
125	22844	sebastian	0.13818150758743286
126	210	seems	-1.0336413383483887
127	7	to	0.022826090455055237
