sample=116 explainer=permutation target=0 sample_size=128
detokenized_full_text: mighty like a <unk> is one of many short films director leo <unk> did starring charley chase . what a <unk> it is ! charlie and his wife both undergo plastic surgery to improve their hideous appearances <unk> to each other . they then meet at a party and become smitten with each other . now they can ' t allow each other to find out they ' re cheating . that ' s the preposterous premise of this frantic farce . vivien oakland , one of the few comic short leads to have a flourishing career long after the <unk> , is perfect as charley ' s long of nose wife . charley has an awful case of buck teeth , which are quickly dispatched at the
idx	token_id	token_str	shap_value
0	855	mighty	0.1462472677230835
1	103	like	-0.05896282196044922
2	9	a	0.04449737071990967
3	1	<unk>	-0.17673945426940918
4	41	is	-0.9593058526515961
5	233	one	1.3905402421951294
6	11	of	0.05540825426578522
7	1615	many	0.12699556350708008
8	507	short	0.006336569786071777
9	25	films	0.23901939392089844
10	404	director	0.1571211814880371
11	3258	leo	-2.976134419441223
12	1	<unk>	-0.46247321367263794
13	154	did	-0.0163804292678833
14	4450	starring	0.5747125148773193
15	12445	charley	-0.10939764976501465
16	4758	chase	0.10949826240539551
17	18	.	0.11653464287519455
18	39	what	0.15508192777633667
19	9	a	0.024621129035949707
20	1	<unk>	-0.3980449438095093
21	47	it	-0.0117950439453125
22	41	is	-0.17345011234283447
23	574	!	0.04415440559387207
24	1514	charlie	0.007692813873291016
25	33	and	-0.16456329822540283
26	23	his	0.20324492454528809
27	1362	wife	0.14985430240631104
28	919	both	-0.141243577003479
29	14050	undergo	-0.10484439134597778
30	11702	plastic	0.39367759227752686
31	10796	surgery	0.14092397689819336
32	7	to	-0.014711827039718628
33	11205	improve	0.40371084213256836
34	837	their	-0.08636128902435303
35	11261	hideous	-0.06261026859283447
36	1570	appearances	-0.0750511884689331
37	1	<unk>	-0.16547644138336182
38	7	to	-0.021316707134246826
39	774	each	-0.1953938603401184
40	476	other	-2.084359288215637
41	18	.	0.12431514263153076
42	622	they	0.3272275924682617
43	356	then	0.07569730281829834
44	2396	meet	-0.21116860210895538
45	90	at	-0.10086691379547119
46	9	a	0.38011276721954346
47	2182	party	0.22515571117401123
48	33	and	-0.13614261150360107
49	1395	become	-1.895138293504715
50	20070	smitten	0.2923675626516342
51	126	with	0.07383131980895996
52	774	each	-0.11765098571777344
53	476	other	-0.08221566677093506
54	18	.	-2.355066657066345
55	373	now	-1.1464893817901611
56	622	they	0.319990873336792
57	40	can	0.11922943592071533
58	4	'	0.006349921226501465
59	5	t	0.05917942523956299
60	771	allow	-0.24054265022277832
61	774	each	-0.3175758719444275
62	476	other	-0.38519246876239777
63	7	to	0.018798470497131348
64	257	find	-0.016944408416748047
65	258	out	0.22970211505889893
66	622	they	0.40480536222457886
67	4	'	0.01432037353515625
68	741	re	0.10164356231689453
69	6490	cheating	0.25709712505340576
70	18	.	0.1505526304244995
71	42	that	-0.13259685039520264
72	4	'	0.0003522038459777832
73	152	s	-0.5961224436759949
74	31	the	-0.015117406845092773
75	21157	preposterous	-0.1396019458770752
76	344	premise	0.23102951049804688
77	11	of	-0.05177640914916992
78	70	this	-0.022319555282592773
79	16709	frantic	0.3492047190666199
80	3223	farce	-0.1519184112548828
81	18	.	0.04279196262359619
82	28019	vivien	-0.10647118091583252
83	8581	oakland	-0.2856776714324951
84	14	,	-0.06232571601867676
85	233	one	-0.01335519552230835
86	11	of	-0.07003545761108398
87	31	the	0.0868297815322876
88	497	few	0.12579762935638428
89	3033	comic	-0.2634708285331726
90	507	short	0.05890810489654541
91	2450	leads	0.2276008129119873
92	7	to	0.010721921920776367
93	19	have	0.40630894899368286
94	9	a	0.0579867959022522
95	11396	flourishing	-0.21100664138793945
96	3348	career	-0.15196013450622559
97	766	long	0.12427151203155518
98	487	after	0.048487067222595215
99	31	the	2.10596626996994
100	1	<unk>	-0.19430851936340332
101	14	,	-0.25825774669647217
102	41	is	-0.09237802028656006
103	803	perfect	-0.23663604259490967
104	145	as	-2.3820712566375732
105	12445	charley	-3.899237096309662
106	4	'	0.02153170108795166
107	152	s	-0.13141119480133057
108	766	long	0.15405714511871338
109	11	of	0.007334858179092407
110	6678	nose	0.7674728631973267
111	1362	wife	0.5233767032623291
112	18	.	0.04260265827178955
113	12445	charley	-0.1227182149887085
114	416	has	-0.1457621455192566
115	268	an	0.09313619136810303
116	1465	awful	8.73889946937561
117	196	case	0.4260139465332031
118	11	of	-0.23406463861465454
119	7905	buck	-0.275606632232666
120	5811	teeth	-0.31440281867980957
121	14	,	-0.05568587779998779
122	209	which	0.11818951368331909
123	226	are	0.13827860355377197
124	1027	quickly	0.848319910466671
125	18494	dispatched	-0.3884967714548111
126	90	at	-0.17966791987419128
127	31	the	-0.004122316837310791
