sample=205 explainer=permutation target=0 sample_size=128
detokenized_full_text: two <unk> <unk> are traveling through the amazon river <unk> on their latest assignment . while trying to capture the <unk> of the area on film , our <unk> cross paths with a game hunter , who is stalking the animals for another reason . looking to eliminate the witnesses to his illegal activities , the hunter decides to according to the dvd sleeve ' s synopsis . handsome guide peter brown ( as jim <unk> ) takes pretty blonde <unk> <unk> ( as terry greene ) and her good-looking brother tom <unk> ( as art greene ) into the venezuelan jungle , to admire the view , and take <unk> pictures . after they hook up with hunky <unk> hunter william smith ( as <unk> ) ,
idx	token_id	token_str	shap_value
0	595	two	-3.5993824005126953
1	1	<unk>	-1.3859493732452393
2	1	<unk>	-0.4626584053039551
3	226	are	-0.6199860721826553
4	7647	traveling	0.4382004737854004
5	783	through	0.22278738021850586
6	31	the	0.2773345112800598
7	14512	amazon	-0.1776180863380432
8	2671	river	-1.1707589030265808
9	1	<unk>	-0.4426079988479614
10	135	on	-0.1305779218673706
11	837	their	-0.18736177682876587
12	10934	latest	-0.024470925331115723
13	11733	assignment	0.48078691959381104
14	18	.	0.12920552492141724
15	1353	while	1.1924374997615814
16	638	trying	1.334830403327942
17	7	to	-0.017046093940734863
18	4800	capture	-0.5262293815612793
19	31	the	2.114677846431732
20	1	<unk>	-0.3584859073162079
21	11	of	-0.03397214412689209
22	31	the	0.02493530511856079
23	658	area	1.0921788215637207
24	135	on	-0.11539959907531738
25	63	film	-0.5168378949165344
26	14	,	-0.1464240849018097
27	2767	our	0.26723796129226685
28	1	<unk>	-0.4297746419906616
29	3865	cross	0.7246041297912598
30	15942	paths	-2.1849446892738342
31	126	with	0.0889596939086914
32	9	a	0.1804802417755127
33	2629	game	-0.021286487579345703
34	4726	hunter	-0.629401683807373
35	14	,	-0.14291757345199585
36	347	who	-0.4135398864746094
37	41	is	-0.506538987159729
38	17204	stalking	0.19569718837738037
39	31	the	0.0743403434753418
40	6083	animals	0.025284048169851303
41	222	for	0.05825814604759216
42	1134	another	0.08172953128814697
43	2527	reason	-0.059052348136901855
44	18	.	0.24024401605129242
45	221	looking	0.022465944290161133
46	7	to	0.027421951293945312
47	23900	eliminate	-0.05566692352294922
48	31	the	0.07079476118087769
49	6516	witnesses	-0.08331352472305298
50	7	to	0.27566012740135193
51	23	his	2.606709122657776
52	16475	illegal	-0.32926297187805176
53	11225	activities	0.6350090503692627
54	14	,	-0.1863294541835785
55	31	the	0.1547650396823883
56	4726	hunter	-0.4525315761566162
57	1718	decides	-0.560600996017456
58	7	to	-0.05083489418029785
59	3143	according	0.5994529724121094
60	7	to	2.7288747429847717
61	31	the	0.061159610748291016
62	493	dvd	-0.20985132455825806
63	15347	sleeve	-0.14028722047805786
64	4	'	0.8003993034362793
65	152	s	-0.2918405532836914
66	4736	synopsis	0.37701165676116943
67	18	.	0.2425769567489624
68	804	handsome	0.2655114233493805
69	1301	guide	-0.0999496579170227
70	1196	peter	0.6335268020629883
71	3949	brown	0.9088560342788696
72	236	(	-0.13208730518817902
73	145	as	-0.512749046087265
74	7185	jim	0.9887713193893433
75	1	<unk>	-1.7185755968093872
76	254	)	0.17879128456115723
77	650	takes	0.9114484786987305
78	513	pretty	0.015330910682678223
79	10868	blonde	0.32983338832855225
80	1	<unk>	-0.2896568775177002
81	1	<unk>	-1.4114124774932861
82	236	(	-0.11255854368209839
83	145	as	-0.8093027472496033
84	10724	terry	-0.2976280450820923
85	14120	greene	-0.4242234230041504
86	254	)	0.20720362663269043
87	33	and	-0.9938144683837891
88	708	her	-0.055125921964645386
89	12062	good-looking	0.4746142625808716
90	1434	brother	0.46510350704193115
91	2478	tom	-0.17419099807739258
92	1	<unk>	-0.4196668863296509
93	236	(	-0.4541410803794861
94	145	as	-0.24456965923309326
95	111	art	-0.12908399105072021
96	14120	greene	-0.622138500213623
97	254	)	0.19100427627563477
98	368	into	-0.22163963317871094
99	31	the	0.05695551633834839
100	14793	venezuelan	-0.24031352996826172
101	11778	jungle	-0.22240379452705383
102	14	,	-0.11072206497192383
103	7	to	-0.020723462104797363
104	14733	admire	1.2377707064151764
105	31	the	0.11893302202224731
106	2865	view	0.27528297901153564
107	14	,	-0.13173097372055054
108	33	and	-0.24824166297912598
109	733	take	-0.5706201791763306
110	1	<unk>	-0.4429358243942261
111	6370	pictures	-0.44051405787467957
112	18	.	0.09827810525894165
113	487	after	0.06505990028381348
114	622	they	2.462878704071045
115	4176	hook	-0.2578846216201782
116	195	up	0.5913392752408981
117	126	with	0.14889514446258545
118	13470	hunky	0.037836819887161255
119	1	<unk>	-0.3265252113342285
120	4726	hunter	0.3128211796283722
121	1918	william	-1.728417158126831
122	2758	smith	-0.5012510381639004
123	236	(	-0.06448626518249512
124	145	as	-0.16878953576087952
125	1	<unk>	-0.720720648765564
126	254	)	0.07921719551086426
127	14	,	-0.12591838836669922
